Wavelength (nm)	Power (dBm)
1.525E-6	-82.794273
1.525045E-6	-82.14101
1.52509E-6	-83.068009
1.525135E-6	-82.813323
1.52518E-6	-84.589202
1.525225E-6	-89.461536
1.52527E-6	-90.910327
1.525315E-6	-101.822364
1.52536E-6	-120
1.525405E-6	-92.914092
1.52545E-6	-89.314431
1.525495E-6	-120
1.52554E-6	-84.043936
1.525585E-6	-81.201589
1.52563E-6	-78.958544
1.525675E-6	-80.121104
1.52572E-6	-80.990869
1.525765E-6	-80.489054
1.52581E-6	-80.118872
1.525855E-6	-80.613802
1.5259E-6	-81.251704
1.525945E-6	-83.853137
1.52599E-6	-87.798919
1.526035E-6	-87.848914
1.52608E-6	-89.154237
1.526125E-6	-120
1.52617E-6	-100.416273
1.526215E-6	-99.685915
1.52626E-6	-86.585655
1.526305E-6	-83.201181
1.52635E-6	-80.34281
1.526395E-6	-79.273825
1.52644E-6	-79.118639
1.526485E-6	-79.108016
1.52653E-6	-79.041335
1.526575E-6	-79.013563
1.52662E-6	-78.958544
1.526665E-6	-79.734667
1.52671E-6	-81.894315
1.526755E-6	-85.699249
1.5268E-6	-87.809397
1.526845E-6	-87.249191
1.52689E-6	-120
1.526935E-6	-120
1.52698E-6	-91.47581
1.527025E-6	-86.472388
1.52707E-6	-82.550033
1.527115E-6	-79.578184
1.52716E-6	-78.380334
1.527205E-6	-78.224635
1.52725E-6	-78.035475
1.527295E-6	-78.138916
1.52734E-6	-77.899492
1.527385E-6	-77.961515
1.52743E-6	-78.771291
1.527475E-6	-80.356461
1.52752E-6	-84.231981
1.527565E-6	-86.944337
1.52761E-6	-88.175853
1.527655E-6	-93.863696
1.5277E-6	-94.480623
1.527745E-6	-91.793389
1.52779E-6	-86.985359
1.527835E-6	-83.059215
1.52788E-6	-79.08333
1.527925E-6	-77.864822
1.52797E-6	-77.290884
1.528015E-6	-76.761294
1.52806E-6	-76.922901
1.528105E-6	-76.651443
1.52815E-6	-76.428277
1.528195E-6	-77.527635
1.52824E-6	-78.996295
1.528285E-6	-82.104898
1.52833E-6	-84.875825
1.528375E-6	-101.356076
1.52842E-6	-88.827287
1.528465E-6	-89.100949
1.52851E-6	-95.625666
1.528555E-6	-92.959353
1.5286E-6	-83.32547
1.528645E-6	-80.00565
1.52869E-6	-76.619421
1.528735E-6	-76.38839
1.52878E-6	-76.272721
1.528825E-6	-75.840256
1.52887E-6	-76.085356
1.528915E-6	-76.232406
1.52896E-6	-76.001533
1.529005E-6	-77.634627
1.52905E-6	-79.558524
1.529095E-6	-86.639407
1.52914E-6	-86.064248
1.529185E-6	-87.309543
1.52923E-6	-90.303977
1.529275E-6	-107.762445
1.52932E-6	-88.244882
1.529365E-6	-85.712175
1.52941E-6	-80.326393
1.529455E-6	-77.21475
1.5295E-6	-76.507225
1.529545E-6	-75.805399
1.52959E-6	-75.605094
1.529635E-6	-75.550189
1.52968E-6	-75.551748
