Wavelength (nm)	Power (dBm)
1.525E-6	-74.709548
1.525045E-6	-74.981195
1.52509E-6	-75.152732
1.525135E-6	-77.115272
1.52518E-6	-80.811836
1.525225E-6	-84.9026
1.52527E-6	-87.394516
1.525315E-6	-87.32359
1.52536E-6	-95.4546
1.525405E-6	-120
1.52545E-6	-86.032777
1.525495E-6	-80.835461
1.52554E-6	-76.466609
1.525585E-6	-74.299243
1.52563E-6	-73.761307
1.525675E-6	-73.428485
1.52572E-6	-73.244049
1.525765E-6	-73.031196
1.52581E-6	-72.912393
1.525855E-6	-73.54676
1.5259E-6	-75.120137
1.525945E-6	-78.579235
1.52599E-6	-83.027707
1.526035E-6	-86.802695
1.52608E-6	-92.368716
1.526125E-6	-89.880069
1.52617E-6	-95.279753
1.526215E-6	-88.576105
1.52626E-6	-80.802945
1.526305E-6	-75.263671
1.52635E-6	-73.056581
1.526395E-6	-72.290008
1.52644E-6	-72.107014
1.526485E-6	-72.026632
1.52653E-6	-71.837587
1.526575E-6	-71.702461
1.52662E-6	-71.987335
1.526665E-6	-73.401788
1.52671E-6	-76.263525
1.526755E-6	-79.871628
1.5268E-6	-86.516951
1.526845E-6	-120
1.52689E-6	-88.90759
1.526935E-6	-88.431481
1.52698E-6	-90.543837
1.527025E-6	-81.792732
1.52707E-6	-75.026556
1.527115E-6	-72.31806
1.52716E-6	-71.106983
1.527205E-6	-70.824945
1.52725E-6	-70.728864
1.527295E-6	-70.700704
1.52734E-6	-70.717066
1.527385E-6	-70.800855
1.52743E-6	-71.60522
1.527475E-6	-74.06271
1.52752E-6	-79.800533
1.527565E-6	-84.362817
1.52761E-6	-87.759852
1.527655E-6	-83.089185
1.5277E-6	-90.621813
1.527745E-6	-96.40544
1.52779E-6	-82.935383
1.527835E-6	-75.477534
1.52788E-6	-71.833611
1.527925E-6	-70.400528
1.52797E-6	-69.931063
1.528015E-6	-69.913998
1.52806E-6	-69.909743
1.528105E-6	-69.846402
1.52815E-6	-69.730584
1.528195E-6	-70.252121
1.52824E-6	-72.259943
1.528285E-6	-76.647427
1.52833E-6	-81.193579
1.528375E-6	-87.899492
1.52842E-6	-85.030704
1.528465E-6	-88.024438
1.52851E-6	-90.057709
1.528555E-6	-85.367044
1.5286E-6	-76.443569
1.528645E-6	-71.807852
1.52869E-6	-69.92679
1.528735E-6	-69.411945
1.52878E-6	-69.179331
1.528825E-6	-69.118639
1.52887E-6	-69.097419
1.528915E-6	-69.041335
1.52896E-6	-69.351678
1.529005E-6	-70.734003
1.52905E-6	-74.152166
1.529095E-6	-79.292235
1.52914E-6	-85.846927
1.529185E-6	-87.435228
1.52923E-6	-90.848641
1.529275E-6	-88.096683
1.52932E-6	-120
1.529365E-6	-79.734667
1.52941E-6	-72.528991
1.529455E-6	-69.825493
1.5295E-6	-68.820662
1.529545E-6	-68.604357
1.52959E-6	-68.639139
1.529635E-6	-68.53872
1.52968E-6	-68.535619
1.529725E-6	-68.620133
1.52977E-6	-69.661743
1.529815E-6	-72.348532
1.52986E-6	-76.950788
1.529905E-6	-83.477537
1.52995E-6	-86.806857
1.529995E-6	-94.175957
1.53004E-6	-103.077702
