Wavelength (nm)	Power (dBm)
1.525E-6	-84.7379
1.525045E-6	-83.862639
1.52509E-6	-83.190303
1.525135E-6	-85.395532
1.52518E-6	-88.840568
1.525225E-6	-92.535994
1.52527E-6	-120
1.525315E-6	-92.318801
1.52536E-6	-120
1.525405E-6	-89.918258
1.52545E-6	-92.333641
1.525495E-6	-88.404328
1.52554E-6	-85.450028
1.525585E-6	-83.859469
1.52563E-6	-82.805858
1.525675E-6	-82.466468
1.52572E-6	-82.608234
1.525765E-6	-81.7993
1.52581E-6	-82.331412
1.525855E-6	-82.407856
1.5259E-6	-83.740705
1.525945E-6	-85.62091
1.52599E-6	-120
1.526035E-6	-93.924378
1.52608E-6	-90.7053
1.526125E-6	-93.18397
1.52617E-6	-98.141746
1.526215E-6	-120
1.52626E-6	-89.076303
1.526305E-6	-85.208568
1.52635E-6	-82.448114
1.526395E-6	-80.990869
1.52644E-6	-80.854453
1.526485E-6	-80.851282
1.52653E-6	-80.37536
1.526575E-6	-80.794593
1.52662E-6	-81.550261
1.526665E-6	-81.63486
1.52671E-6	-83.859469
1.526755E-6	-87.173779
1.5268E-6	-89.321855
1.526845E-6	-120
1.52689E-6	-87.024583
1.526935E-6	-90.792507
1.52698E-6	-88.401322
1.527025E-6	-120
1.52707E-6	-85.459177
1.527115E-6	-81.841567
1.52716E-6	-80.34187
1.527205E-6	-79.779843
1.52725E-6	-79.641702
1.527295E-6	-79.511699
1.52734E-6	-79.796387
1.527385E-6	-79.75925
1.52743E-6	-80.278435
1.527475E-6	-83.317073
1.52752E-6	-87.048729
1.527565E-6	-89.97402
1.52761E-6	-91.312968
1.527655E-6	-92.499547
1.5277E-6	-89.854795
1.527745E-6	-120
1.52779E-6	-98.804142
1.527835E-6	-86.544302
1.52788E-6	-82.078185
1.527925E-6	-79.270153
1.52797E-6	-79.37418
1.528015E-6	-78.467951
1.52806E-6	-78.880657
1.528105E-6	-78.23041
1.52815E-6	-78.827287
1.528195E-6	-79.079815
1.52824E-6	-80.17774
1.528285E-6	-84.839938
1.52833E-6	-93.013776
1.528375E-6	-120
1.52842E-6	-120
1.528465E-6	-88.9279
1.52851E-6	-120
1.528555E-6	-87.437635
1.5286E-6	-86.597542
1.528645E-6	-81.075715
1.52869E-6	-79.157813
1.528735E-6	-78.323873
1.52878E-6	-78.53252
1.528825E-6	-78.029953
1.52887E-6	-77.690404
1.528915E-6	-77.87546
1.52896E-6	-78.099486
1.529005E-6	-79.325572
1.52905E-6	-81.109786
1.529095E-6	-90.308638
1.52914E-6	-86.957249
1.529185E-6	-92.321024
1.52923E-6	-95.224447
1.529275E-6	-120
1.52932E-6	-97.349462
1.529365E-6	-89.948195
1.52941E-6	-82.512694
1.529455E-6	-79.086848
1.5295E-6	-77.32359
1.529545E-6	-76.933606
1.52959E-6	-76.813107
1.529635E-6	-77.827793
1.52968E-6	-77.221617
1.529725E-6	-77.260732
1.52977E-6	-77.969671
1.529815E-6	-80.725783
1.52986E-6	-84.090468
1.529905E-6	-91.577653
1.52995E-6	-104.001169
1.529995E-6	-97.522722
1.53004E-6	-91.286022
1.530085E-6	-120
1.53013E-6	-96.703988
1.530175E-6	-84.274769
1.53022E-6	-79.359166
1.530265E-6	-77.759852
1.53031E-6	-77.408842
1.530355E-6	-77.162466
1.5304E-6	-76.922901
1.530445E-6	-77.057543
1.53049E-6	-76.641411
1.530535E-6	-78.187282
1.53058E-6	-79.550685
1.530625E-6	-82.878556
1.53067E-6	-88.59492
1.530715E-6	-90.598323
1.53076E-6	-90.072698
1.530805E-6	-120
1.53085E-6	-94.280584
1.530895E-6	-120
1.53094E-6	-85.483671
1.530985E-6	-79.943906
1.53103E-6	-78.239087
1.531075E-6	-77.544873
1.53112E-6	-76.869769
1.531165E-6	-77.356545
1.53121E-6	-76.968039
1.531255E-6	-76.821455
1.5313E-6	-77.119745
1.531345E-6	-78.449678
1.53139E-6	-79.685915
1.531435E-6	-85.785606
1.53148E-6	-90.792507
1.531525E-6	-92.506502
1.53157E-6	-120
1.531615E-6	-91.961334
1.53166E-6	-91.52489
1.531705E-6	-88.477117
1.53175E-6	-82.225732
1.531795E-6	-77.602002
1.53184E-6	-77.018021
1.531885E-6	-76.950788
1.53193E-6	-76.659486
1.531975E-6	-77.033348
1.53202E-6	-76.840297
1.532065E-6	-77.068585
1.53211E-6	-77.961515
1.532155E-6	-80.348924
1.5322E-6	-84.476969
1.532245E-6	-91.054624
1.53229E-6	-89.742846
1.532335E-6	-120
1.53238E-6	-91.979107
1.532425E-6	-89.812995
1.53247E-6	-88.437538
1.532515E-6	-85.114493
1.53256E-6	-79.854795
1.532605E-6	-77.461776
1.53265E-6	-77.418418
1.532695E-6	-76.922901
1.53274E-6	-77.20105
1.532785E-6	-76.940041
1.53283E-6	-76.792308
1.532875E-6	-77.515363
1.53292E-6	-79.75104
1.532965E-6	-81.940915
1.53301E-6	-87.242281
1.533055E-6	-92.601113
1.5331E-6	-120
1.533145E-6	-120
1.53319E-6	-120
1.533235E-6	-98.256494
1.53328E-6	-87.612014
1.533325E-6	-82.010043
1.53337E-6	-78.9279
1.533415E-6	-76.176227
1.53346E-6	-77.473897
1.533505E-6	-77.522722
1.53355E-6	-77.522722
1.533595E-6	-77.203331
1.53364E-6	-77.527635
1.533685E-6	-77.961515
1.53373E-6	-81.137914
1.533775E-6	-85.033471
1.53382E-6	-95.726762
1.533865E-6	-92.689756
1.53391E-6	-105.62408
1.533955E-6	-87.037737
1.534E-6	-100.742239
1.534045E-6	-92.124687
1.53409E-6	-83.357342
1.534135E-6	-80.72681
1.53418E-6	-78.748442
