Wavelength (nm)	Power (dBm)
1.525E-6	-48.703101
1.525045E-6	-48.601209
1.52509E-6	-48.76475
1.525135E-6	-49.37418
1.52518E-6	-50
1.525225E-6	-50.204516
1.52527E-6	-50.172766
1.525315E-6	-50.092617
1.52536E-6	-50.012613
1.525405E-6	-49.913998
1.52545E-6	-49.621752
1.525495E-6	-48.696662
1.52554E-6	-47.517814
1.525585E-6	-46.790233
1.52563E-6	-46.464684
1.525675E-6	-46.274562
1.52572E-6	-46.050233
1.525765E-6	-45.895602
1.52581E-6	-45.723516
1.525855E-6	-46.006725
1.5259E-6	-47.002748
1.525945E-6	-48.256494
1.52599E-6	-48.790972
1.526035E-6	-48.847224
1.52608E-6	-48.814046
1.526125E-6	-48.738686
1.52617E-6	-48.664611
1.526215E-6	-48.320922
1.52626E-6	-46.950788
1.526305E-6	-45.320961
1.52635E-6	-44.342702
1.526395E-6	-43.931889
1.52644E-6	-43.771645
1.526485E-6	-43.653212
1.52653E-6	-43.494011
1.526575E-6	-43.392294
1.52662E-6	-43.578324
1.526665E-6	-44.626847
1.52671E-6	-46.326441
1.526755E-6	-47.562181
1.5268E-6	-47.835702
1.526845E-6	-47.817271
1.52689E-6	-47.749493
1.526935E-6	-47.710866
1.52698E-6	-47.442452
1.527025E-6	-45.958508
1.52707E-6	-43.756148
1.527115E-6	-42.346295
1.52716E-6	-41.846215
1.527205E-6	-41.658337
1.52725E-6	-41.539723
1.527295E-6	-41.400815
1.52734E-6	-41.365582
1.527385E-6	-41.491088
1.52743E-6	-42.415423
1.527475E-6	-44.390179
1.52752E-6	-46.40544
1.527565E-6	-47.101882
1.52761E-6	-47.16925
1.527655E-6	-47.108572
1.5277E-6	-47.077439
1.527745E-6	-46.959405
1.52779E-6	-45.667103
1.527835E-6	-43.058337
1.52788E-6	-41.137349
1.527925E-6	-40.405293
1.52797E-6	-40.187252
1.528015E-6	-40.122891
1.52806E-6	-40.092173
1.528105E-6	-40.025699
1.52815E-6	-40.05991
1.528195E-6	-40.773783
1.52824E-6	-42.680891
1.528285E-6	-45.259295
1.52833E-6	-46.591595
1.528375E-6	-46.825635
1.52842E-6	-46.829819
1.528465E-6	-46.802695
1.52851E-6	-46.765416
1.528555E-6	-45.868679
1.5286E-6	-43.186683
1.528645E-6	-40.796679
1.52869E-6	-39.738755
1.528735E-6	-39.442395
1.52878E-6	-39.446217
1.528825E-6	-39.351678
1.52887E-6	-39.333014
1.528915E-6	-39.377942
1.52896E-6	-39.838026
1.529005E-6	-41.442386
1.52905E-6	-44.165745
1.529095E-6	-46.14215
1.52914E-6	-46.673596
1.529185E-6	-46.687752
1.52923E-6	-46.585655
1.529275E-6	-46.024076
1.52932E-6	-42.961929
1.529365E-6	-30.592843
1.52941E-6	-21.473371
1.529455E-6	-17.6675
1.5295E-6	-16.294869
1.529545E-6	-15.968795
1.52959E-6	-15.846927
1.529635E-6	-15.775743
1.52968E-6	-15.805399
1.529725E-6	-16.827727
1.52977E-6	-19.892761
1.529815E-6	-27.276942
1.52986E-6	-37.246886
1.529905E-6	-43.856302
1.52995E-6	-46.048484
1.529995E-6	-46.546263
1.53004E-6	-46.661499
1.530085E-6	-46.613443
1.53013E-6	-45.294425
1.530175E-6	-42.326957
1.53022E-6	-40.219108
1.530265E-6	-39.344203
1.53031E-6	-39.182927
1.530355E-6	-39.147094
1.5304E-6	-39.108016
