Wavelength (nm)	Power (dBm)
1.525E-6	-74.378261
1.525045E-6	-74.591702
1.52509E-6	-75.13853
1.525135E-6	-76.786087
1.52518E-6	-80.072698
1.525225E-6	-84.90663
1.52527E-6	-91.60522
1.525315E-6	-86.577748
1.52536E-6	-92.896287
1.525405E-6	-88.099486
1.52545E-6	-88.771291
1.525495E-6	-80.62031
1.52554E-6	-75.765903
1.525585E-6	-74.17255
1.52563E-6	-73.379036
1.525675E-6	-73.05044
1.52572E-6	-72.999889
1.525765E-6	-72.844981
1.52581E-6	-72.76955
1.525855E-6	-73.122036
1.5259E-6	-74.560561
1.525945E-6	-77.644716
1.52599E-6	-82.466468
1.526035E-6	-86.23423
1.52608E-6	-89.385475
1.526125E-6	-89.681877
1.52617E-6	-88.247782
1.526215E-6	-86.907958
1.52626E-6	-80.785737
1.526305E-6	-75.023794
1.52635E-6	-72.772016
1.526395E-6	-72.037033
1.52644E-6	-71.818401
1.526485E-6	-71.752886
1.52653E-6	-71.603334
1.526575E-6	-71.5422
1.52662E-6	-71.711468
1.526665E-6	-72.864255
1.52671E-6	-75.713793
1.526755E-6	-79.846402
1.5268E-6	-85.617742
1.526845E-6	-88.607508
1.52689E-6	-86.518899
1.526935E-6	-89.197344
1.52698E-6	-89.978339
1.527025E-6	-81.580152
1.52707E-6	-74.643262
1.527115E-6	-72.030096
1.52716E-6	-70.882034
1.527205E-6	-70.469655
1.52725E-6	-70.445047
1.527295E-6	-70.377728
1.52734E-6	-70.350336
1.527385E-6	-70.425364
1.52743E-6	-71.186153
1.527475E-6	-73.706924
1.52752E-6	-78.273971
1.527565E-6	-83.285494
1.52761E-6	-88.706324
1.527655E-6	-89.277501
1.5277E-6	-88.900841
1.527745E-6	-88.529423
1.52779E-6	-83.805936
1.527835E-6	-75.364056
1.52788E-6	-71.5422
1.527925E-6	-70.090399
1.52797E-6	-69.645703
1.528015E-6	-69.500071
1.52806E-6	-69.496202
1.528105E-6	-69.438577
1.52815E-6	-69.484616
1.528195E-6	-69.880069
1.52824E-6	-71.734717
1.528285E-6	-75.944829
1.52833E-6	-80.743785
1.528375E-6	-86.401645
1.52842E-6	-88.880657
1.528465E-6	-91.068488
1.52851E-6	-120
1.528555E-6	-84.774254
1.5286E-6	-75.636783
1.528645E-6	-71.677466
1.52869E-6	-69.586073
1.528735E-6	-68.797552
1.52878E-6	-68.777841
1.528825E-6	-68.777841
1.52887E-6	-68.680607
1.528915E-6	-68.693447
1.52896E-6	-68.897471
1.529005E-6	-70.210438
1.52905E-6	-73.799681
1.529095E-6	-79.333014
1.52914E-6	-83.591212
1.529185E-6	-88.190144
1.52923E-6	-86.987529
1.529275E-6	-83.669357
1.52932E-6	-76.356366
1.529365E-6	-61.415831
1.52941E-6	-50.724757
1.529455E-6	-46.343249
1.5295E-6	-44.457532
1.529545E-6	-44.113922
1.52959E-6	-44.005536
1.529635E-6	-43.936186
1.52968E-6	-43.907258
1.529725E-6	-44.7379
1.52977E-6	-47.71343
1.529815E-6	-54.177093
1.52986E-6	-63.011169
1.529905E-6	-71.674272
1.52995E-6	-78.722475
1.529995E-6	-81.61025
1.53004E-6	-87.263044
1.530085E-6	-85.543958
1.53013E-6	-81.445414
1.530175E-6	-73.430398
1.53022E-6	-69.779843
1.530265E-6	-68.247782
1.53031E-6	-67.833064
1.530355E-6	-67.835702
1.5304E-6	-67.75208
1.530445E-6	-67.814645
1.53049E-6	-67.838341
1.530535E-6	-68.392314
1.53058E-6	-70.172766
1.530625E-6	-74.428539
1.53067E-6	-79.318141
1.530715E-6	-85.704092
1.53076E-6	-88.079904
1.530805E-6	-85.516029
1.53085E-6	-82.207644
1.530895E-6	-73.115802
1.53094E-6	-56.534514
1.530985E-6	-48.807441
1.53103E-6	-45.141367
1.531075E-6	-44.271284
1.53112E-6	-44.098272
1.531165E-6	-44.021952
1.53121E-6	-43.952341
1.531255E-6	-44.153296
1.5313E-6	-45.448505
1.531345E-6	-49.182927
1.53139E-6	-57.061956
1.531435E-6	-66.206945
1.53148E-6	-73.820566
1.531525E-6	-79.147094
1.53157E-6	-82.849163
1.531615E-6	-90.79355
1.53166E-6	-85.818645
1.531705E-6	-78.690233
1.53175E-6	-71.665341
1.531795E-6	-68.794261
1.53184E-6	-67.791078
1.531885E-6	-67.604503
1.53193E-6	-67.607005
1.531975E-6	-67.617029
1.53202E-6	-67.607005
1.532065E-6	-67.734001
1.53211E-6	-68.53252
1.532155E-6	-70.799811
1.5322E-6	-75.617742
1.532245E-6	-81.011652
1.53229E-6	-84.453897
1.532335E-6	-85.938006
1.53238E-6	-84.399738
1.532425E-6	-81.19015
1.53247E-6	-69.808837
1.532515E-6	-53.734543
1.53256E-6	-47.420815
1.532605E-6	-44.636941
1.53265E-6	-44.089354
1.532695E-6	-43.995717
1.53274E-6	-44.004444
1.532785E-6	-44.020855
1.53283E-6	-44.418917
1.532875E-6	-46.188849
1.53292E-6	-50.399099
1.532965E-6	-59.694003
1.53301E-6	-68.350526
1.533055E-6	-75.303252
1.5331E-6	-80.209983
1.533145E-6	-83.143478
1.53319E-6	-84.750849
1.533235E-6	-85.31505
1.53328E-6	-76.563945
1.533325E-6	-71.414628
1.53337E-6	-69.010104
1.533415E-6	-68.190144
1.53346E-6	-68.088285
1.533505E-6	-68.077114
1.53355E-6	-68.178708
1.533595E-6	-68.347557
1.53364E-6	-68.563608
1.533685E-6	-69.689957
1.53373E-6	-72.047458
1.533775E-6	-76.873996
1.53382E-6	-82.525882
1.533865E-6	-86.994045
1.53391E-6	-85.951663
1.533955E-6	-84.126258
1.534E-6	-80.187705
1.534045E-6	-66.659486
1.53409E-6	-52.651202
1.534135E-6	-46.840297
1.53418E-6	-44.343883
1.534225E-6	-43.922234
