Wavelength (nm)	Power (dBm)
1.525E-6	-84.993519
1.525045E-6	-85.878756
1.52509E-6	-87.318903
1.525135E-6	-88.751699
1.52518E-6	-97.221617
1.525225E-6	-102.918341
1.52527E-6	-90.065197
1.525315E-6	-111.364392
1.52536E-6	-120
1.525405E-6	-91.829638
1.52545E-6	-104.134127
1.525495E-6	-93.773716
1.52554E-6	-86.40544
1.525585E-6	-85.970512
1.52563E-6	-83.019865
1.525675E-6	-84.614263
1.52572E-6	-84.015378
1.525765E-6	-83.868985
1.52581E-6	-83.754085
1.525855E-6	-85.21145
1.5259E-6	-85.614577
1.525945E-6	-88.389316
1.52599E-6	-109.020489
1.526035E-6	-93.127387
1.52608E-6	-92.999023
1.526125E-6	-99.480761
1.52617E-6	-120
1.526215E-6	-92.080989
1.52626E-6	-91.481915
1.526305E-6	-86.409238
1.52635E-6	-83.441895
1.526395E-6	-83.81429
1.52644E-6	-83.202088
1.526485E-6	-83.306831
1.52653E-6	-82.96107
1.526575E-6	-82.76052
1.52662E-6	-81.90373
1.526665E-6	-82.94564
1.52671E-6	-86.505282
1.526755E-6	-91.904403
1.5268E-6	-120
1.526845E-6	-120
1.52689E-6	-93.170431
1.526935E-6	-96.585655
1.52698E-6	-120
1.527025E-6	-100.668672
1.52707E-6	-87.525177
1.527115E-6	-82.543788
1.52716E-6	-83.217548
1.527205E-6	-81.448444
1.52725E-6	-81.777011
1.527295E-6	-81.394823
1.52734E-6	-82.90052
1.527385E-6	-80.480314
1.52743E-6	-81.928033
1.527475E-6	-84.342702
1.52752E-6	-91.813783
1.527565E-6	-95.987718
1.52761E-6	-96.821455
1.527655E-6	-93.690639
1.5277E-6	-93.965308
1.527745E-6	-90.347512
1.52779E-6	-99.986991
1.527835E-6	-87.559704
1.52788E-6	-84.246967
1.527925E-6	-81.014394
1.52797E-6	-81.792076
1.528015E-6	-80.601813
1.52806E-6	-80.64896
1.528105E-6	-80.3711
1.52815E-6	-79.969705
1.528195E-6	-81.133965
1.52824E-6	-82.76134
1.528285E-6	-87.838341
1.52833E-6	-91.759393
1.528375E-6	-102.248266
1.52842E-6	-90.264565
1.528465E-6	-120
1.52851E-6	-101.356076
1.528555E-6	-98.079904
1.5286E-6	-87.399286
1.528645E-6	-84.635678
1.52869E-6	-81.112029
1.528735E-6	-79.858997
1.52878E-6	-80.217282
1.528825E-6	-79.613798
1.52887E-6	-79.995659
1.528915E-6	-80.331546
1.52896E-6	-80.018279
1.529005E-6	-80.457092
1.52905E-6	-85.029321
1.529095E-6	-88.572978
1.52914E-6	-87.342391
1.529185E-6	-93.018124
1.52923E-6	-120
1.529275E-6	-95.076587
1.52932E-6	-89.19013
1.529365E-6	-100.025699
1.52941E-6	-84.252744
1.529455E-6	-81.598312
1.5295E-6	-79.884296
1.529545E-6	-79.590023
1.52959E-6	-79.273825
1.529635E-6	-79.698052
1.52968E-6	-79.465374
1.529725E-6	-79.706162
1.52977E-6	-79.792245
1.529815E-6	-82.169544
1.52986E-6	-88.722475
1.529905E-6	-120
1.52995E-6	-91.917215
1.529995E-6	-95.100415
1.53004E-6	-93.77786
1.530085E-6	-120
1.53013E-6	-88.572978
1.530175E-6	-87.31422
1.53022E-6	-81.949071
1.530265E-6	-79.796387
1.53031E-6	-78.965384
1.530355E-6	-79.450041
1.5304E-6	-79.558524
1.530445E-6	-79.488475
1.53049E-6	-79.333014
1.530535E-6	-79.329291
1.53058E-6	-81.245336
1.530625E-6	-83.804893
1.53067E-6	-91.431503
1.530715E-6	-92.494916
1.53076E-6	-120
1.530805E-6	-120
1.53085E-6	-91.732775
1.530895E-6	-97.517814
1.53094E-6	-88.195874
1.530985E-6	-82.3114
1.53103E-6	-79.808837
1.531075E-6	-79.617774
1.53112E-6	-79.453869
1.531165E-6	-78.677403
1.53121E-6	-78.50473
1.531255E-6	-80.677292
1.5313E-6	-79.370422
1.531345E-6	-79.542859
1.53139E-6	-82.22066
1.531435E-6	-87.064165
1.53148E-6	-91.351924
1.531525E-6	-89.767475
1.53157E-6	-90.73812
1.531615E-6	-120
1.53166E-6	-120
1.531705E-6	-92.884458
1.53175E-6	-85.756084
1.531795E-6	-80.833355
1.53184E-6	-79.233596
1.531885E-6	-79.147094
1.53193E-6	-78.800846
1.531975E-6	-79.262816
1.53202E-6	-78.894103
1.532065E-6	-79.04482
1.53211E-6	-79.570309
1.532155E-6	-82.080989
1.5322E-6	-85.096201
1.532245E-6	-94.494048
1.53229E-6	-120
1.532335E-6	-120
1.53238E-6	-88.999743
1.532425E-6	-120
1.53247E-6	-120
1.532515E-6	-86.265363
1.53256E-6	-82.036338
1.532605E-6	-80.00565
1.53265E-6	-80.001303
1.532695E-6	-79.381707
1.53274E-6	-78.965384
1.532785E-6	-78.807441
1.53283E-6	-78.982529
1.532875E-6	-79.314431
1.53292E-6	-80.335767
1.532965E-6	-84.925489
1.53301E-6	-90.230085
1.533055E-6	-93.41321
1.5331E-6	-120
1.533145E-6	-120
1.53319E-6	-85.979106
1.533235E-6	-94.336804
1.53328E-6	-120
1.533325E-6	-83.072412
1.53337E-6	-81.258082
1.533415E-6	-80.175931
1.53346E-6	-79.469216
1.533505E-6	-79.381707
1.53355E-6	-79.846402
1.533595E-6	-80.055949
1.53364E-6	-80.254423
1.533685E-6	-80.766005
1.53373E-6	-82.710784
1.533775E-6	-94.776862
1.53382E-6	-91.913165
1.533865E-6	-120
1.53391E-6	-120
1.533955E-6	-91.77309
1.534E-6	-96.635403
1.534045E-6	-120
1.53409E-6	-87.321246
1.534135E-6	-82.222833
1.53418E-6	-80.652491
1.534225E-6	-80.545807
1.53427E-6	-80
1.534315E-6	-80.397195
1.53436E-6	-80.484682
1.534405E-6	-80.791465
1.53445E-6	-80.487596
1.534495E-6	-82.388995
1.53454E-6	-85.775743
1.534585E-6	-97.263044
1.53463E-6	-120
1.534675E-6	-105.141367
1.53472E-6	-92.401056
1.534765E-6	-120
1.53481E-6	-120
1.534855E-6	-93.967473
1.5349E-6	-84.271284
1.534945E-6	-82.162393
1.53499E-6	-81.354889
1.535035E-6	-81.410419
1.53508E-6	-81.072378
1.535125E-6	-81.281936
1.53517E-6	-81.292451
1.535215E-6	-80.572481
1.53526E-6	-81.942274
1.535305E-6	-83.580304
1.53535E-6	-90.232833
1.535395E-6	-89.609827
1.53544E-6	-91.545919
1.535485E-6	-93.794476
1.53553E-6	-103.629107
1.535575E-6	-120
1.53562E-6	-120
1.535665E-6	-88.38632
1.53571E-6	-85.214335
1.535755E-6	-81.963381
1.5358E-6	-81.051303
1.535845E-6	-81.127767
1.53589E-6	-81.925326
1.535935E-6	-81.75744
1.53598E-6	-83.191208
1.536025E-6	-82.226457
1.53607E-6	-85.005879
1.536115E-6	-86.409238
1.53616E-6	-92.163822
1.536205E-6	-91.849538
1.53625E-6	-90.509517
1.536295E-6	-120
1.53634E-6	-120
1.536385E-6	-120
1.53643E-6	-91.793389
1.536475E-6	-85.782316
1.53652E-6	-83.465945
1.536565E-6	-82.212701
