Wavelength (nm)	Power (dBm)
1.525E-6	-87.822529
1.525045E-6	-88.623295
1.52509E-6	-97.389752
1.525135E-6	-94.992148
1.52518E-6	-120
1.525225E-6	-102.111249
1.52527E-6	-120
1.525315E-6	-120
1.52536E-6	-91.007268
1.525405E-6	-120
1.52545E-6	-91.574532
1.525495E-6	-94.374692
1.52554E-6	-120
1.525585E-6	-120
1.52563E-6	-99.566377
1.525675E-6	-91.484359
1.52572E-6	-92.55707
1.525765E-6	-103.583276
1.52581E-6	-89.808837
1.525855E-6	-120
1.5259E-6	-94.273607
1.525945E-6	-95.434821
1.52599E-6	-120
1.526035E-6	-97.117508
1.52608E-6	-120
1.526125E-6	-120
1.52617E-6	-120
1.526215E-6	-95.628839
1.52626E-6	-93.606131
1.526305E-6	-120
1.52635E-6	-120
1.526395E-6	-89.333014
1.52644E-6	-120
1.526485E-6	-89.37418
1.52653E-6	-89.058784
1.526575E-6	-120
1.52662E-6	-102.731099
1.526665E-6	-87.144427
1.52671E-6	-98.136088
1.526755E-6	-120
1.5268E-6	-92.188193
1.526845E-6	-106.004993
1.52689E-6	-120
1.526935E-6	-120
1.52698E-6	-120
1.527025E-6	-92.325473
1.52707E-6	-88.303256
1.527115E-6	-87.835702
1.52716E-6	-90.457092
1.527205E-6	-88.958544
1.52725E-6	-92.069783
1.527295E-6	-120
1.52734E-6	-90.982149
1.527385E-6	-90.482255
1.52743E-6	-93.022477
1.527475E-6	-120
1.52752E-6	-96.524748
1.527565E-6	-120
1.52761E-6	-120
1.527655E-6	-120
1.5277E-6	-94.366376
1.527745E-6	-95.108856
1.52779E-6	-99.554602
1.527835E-6	-120
1.52788E-6	-120
1.527925E-6	-95.306199
1.52797E-6	-92.548471
1.528015E-6	-89.273825
1.52806E-6	-87.89414
1.528105E-6	-86.589614
1.52815E-6	-91.827653
1.528195E-6	-90.197693
1.52824E-6	-87.654827
1.528285E-6	-95.725139
1.52833E-6	-120
1.528375E-6	-120
1.52842E-6	-120
1.528465E-6	-120
1.52851E-6	-120
1.528555E-6	-120
1.5286E-6	-99.318141
1.528645E-6	-120
1.52869E-6	-85.887171
1.528735E-6	-91.640559
1.52878E-6	-85.508303
1.528825E-6	-91.653886
1.52887E-6	-120
1.528915E-6	-87.119745
1.52896E-6	-91.942274
1.529005E-6	-88.136088
1.52905E-6	-120
1.529095E-6	-87.425614
1.52914E-6	-109.013563
1.529185E-6	-91.957242
1.52923E-6	-120
1.529275E-6	-92.478747
1.52932E-6	-120
1.529365E-6	-87.75208
1.52941E-6	-90.377728
1.529455E-6	-86.821455
1.5295E-6	-89.461536
1.529545E-6	-87.481185
1.52959E-6	-87.444863
1.529635E-6	-86.390281
1.52968E-6	-85.932895
1.529725E-6	-88.010681
1.52977E-6	-89.488475
1.529815E-6	-91.945671
1.52986E-6	-92.722961
1.529905E-6	-93.545777
1.52995E-6	-120
1.529995E-6	-120
1.53004E-6	-94.628108
1.530085E-6	-120
1.53013E-6	-101.537866
1.530175E-6	-107.4958
1.53022E-6	-89.755143
1.530265E-6	-88.204482
1.53031E-6	-86.062494
1.530355E-6	-86.994045
1.5304E-6	-86.017127
1.530445E-6	-89.310724
1.53049E-6	-88.45576
1.530535E-6	-88.227522
1.53058E-6	-91.032534
1.530625E-6	-98.827287
1.53067E-6	-97.594508
1.530715E-6	-120
1.53076E-6	-95.612995
1.530805E-6	-90.053749
1.53085E-6	-120
1.530895E-6	-93.583276
1.53094E-6	-120
1.530985E-6	-89.186527
1.53103E-6	-97.539941
1.531075E-6	-86.726411
1.53112E-6	-85.089186
1.531165E-6	-86.544302
1.53121E-6	-85.410601
1.531255E-6	-86.232406
1.5313E-6	-88.173001
1.531345E-6	-86.315272
1.53139E-6	-89.542859
1.531435E-6	-120
1.53148E-6	-120
1.531525E-6	-120
1.53157E-6	-120
1.531615E-6	-90.94366
1.53166E-6	-120
1.531705E-6	-90.050233
1.53175E-6	-90.497325
1.531795E-6	-89.164974
1.53184E-6	-87.187393
1.531885E-6	-87.07301
1.53193E-6	-88.958544
1.531975E-6	-88.690233
1.53202E-6	-88.452718
1.532065E-6	-85.980827
1.53211E-6	-86.781945
1.532155E-6	-93.273481
1.5322E-6	-92.947351
1.532245E-6	-120
1.53229E-6	-94.745664
1.532335E-6	-95.174122
1.53238E-6	-120
1.532425E-6	-101.719849
1.53247E-6	-120
1.532515E-6	-89.314431
1.53256E-6	-86.792308
1.532605E-6	-86.201508
1.53265E-6	-88.259402
1.532695E-6	-88.119156
1.53274E-6	-85.687971
1.532785E-6	-87.033348
1.53283E-6	-87.318903
1.532875E-6	-86.918626
1.53292E-6	-87.293212
1.532965E-6	-95.250557
1.53301E-6	-96.599527
1.533055E-6	-101.45269
1.5331E-6	-120
1.533145E-6	-120
1.53319E-6	-90.352691
1.533235E-6	-89.20457
1.53328E-6	-90.9691
1.533325E-6	-87.088532
1.53337E-6	-89.617774
1.533415E-6	-89.590023
1.53346E-6	-93.823707
1.533505E-6	-86.806857
1.53355E-6	-89.427144
1.533595E-6	-86.777807
1.53364E-6	-88.079904
1.533685E-6	-88.262312
1.53373E-6	-87.775437
1.533775E-6	-120
1.53382E-6	-120
1.533865E-6	-97.956087
1.53391E-6	-90.463853
1.533955E-6	-120
1.534E-6	-120
1.534045E-6	-120
1.53409E-6	-94.523483
1.534135E-6	-88.285661
1.53418E-6	-91.034738
1.534225E-6	-91.591414
1.53427E-6	-87.918275
1.534315E-6	-87.599502
1.53436E-6	-89.062282
1.534405E-6	-86.722325
1.53445E-6	-89.538952
1.534495E-6	-88.541823
1.53454E-6	-91.383461
1.534585E-6	-90.832829
1.53463E-6	-120
1.534675E-6	-120
1.53472E-6	-120
1.534765E-6	-103.330143
1.53481E-6	-97.672579
1.534855E-6	-89.093893
1.5349E-6	-92.514244
1.534945E-6	-86.92504
1.53499E-6	-89.931063
1.535035E-6	-90.617305
1.53508E-6	-89.154237
1.535125E-6	-89.115095
1.53517E-6	-85.84359
1.535215E-6	-88.541823
1.53526E-6	-89.722428
1.535305E-6	-93.191208
1.53535E-6	-120
1.535395E-6	-120
1.53544E-6	-120
1.535485E-6	-120
1.53553E-6	-98.236193
1.535575E-6	-120
1.53562E-6	-120
1.535665E-6	-91.034738
1.53571E-6	-91.129456
1.535755E-6	-93.982659
1.5358E-6	-87.710866
1.535845E-6	-86.499459
1.53589E-6	-88.820662
1.535935E-6	-93.901922
1.53598E-6	-90.043648
1.536025E-6	-88.233301
1.53607E-6	-86.863437
1.536115E-6	-90.453234
1.53616E-6	-120
1.536205E-6	-120
1.53625E-6	-120
1.536295E-6	-120
1.53634E-6	-99.586073
1.536385E-6	-89.023957
1.53643E-6	-120
1.536475E-6	-88.329782
1.53652E-6	-89.08333
1.536565E-6	-93.931889
1.53661E-6	-87.119745
1.536655E-6	-90.397195
1.5367E-6	-96.006725
1.536745E-6	-88.948306
1.53679E-6	-92.6946
1.536835E-6	-120
1.53688E-6	-92.505729
1.536925E-6	-120
1.53697E-6	-91.974315
1.537015E-6	-120
1.53706E-6	-89.531148
1.537105E-6	-99.92679
1.53715E-6	-92.313619
1.537195E-6	-96.001533
1.53724E-6	-102.266525
1.537285E-6	-120
1.53733E-6	-89.788107
1.537375E-6	-87.687854
1.53742E-6	-100.399099
1.537465E-6	-91.081282
1.53751E-6	-87.335331
1.537555E-6	-120
1.5376E-6	-90.206793
1.537645E-6	-89.710223
1.53769E-6	-120
1.537735E-6	-120
1.53778E-6	-97.416022
1.537825E-6	-120
1.53787E-6	-92.525882
1.537915E-6	-120
1.53796E-6	-120
1.538005E-6	-92.400301
1.53805E-6	-96.456994
1.538095E-6	-91.746388
1.53814E-6	-88.690233
1.538185E-6	-88.972234
1.53823E-6	-120
1.538275E-6	-89.442395
1.53832E-6	-91.958606
1.538365E-6	-95.086383
1.53841E-6	-86.802695
1.538455E-6	-120
1.5385E-6	-120
1.538545E-6	-98.87395
1.53859E-6	-93.463052
1.538635E-6	-96.948637
1.53868E-6	-89.821323
1.538725E-6	-120
1.53877E-6	-120
1.538815E-6	-91.899692
1.53886E-6	-97.612014
1.538905E-6	-95.667103
1.53895E-6	-88.323873
1.538995E-6	-88.601209
1.53904E-6	-96.827727
1.539085E-6	-89.892761
1.53913E-6	-91.499054
1.539175E-6	-88.975663
1.53922E-6	-100.136762
1.539265E-6	-91.750935
1.53931E-6	-95.31505
