Wavelength (nm)	Power (dBm)
1.525E-6	-73.535963
1.525045E-6	-73.388501
1.52509E-6	-73.995717
1.525135E-6	-76.188849
1.52518E-6	-79.34047
1.525225E-6	-83.49207
1.52527E-6	-85.850267
1.525315E-6	-86.430186
1.52536E-6	-86.378947
1.525405E-6	-90.894823
1.52545E-6	-84.015378
1.525495E-6	-79.277501
1.52554E-6	-74.944431
1.525585E-6	-72.931969
1.52563E-6	-72.347786
1.525675E-6	-72.141721
1.52572E-6	-71.964063
1.525765E-6	-71.699891
1.52581E-6	-71.730834
1.525855E-6	-71.89902
1.5259E-6	-73.707943
1.525945E-6	-77.31422
1.52599E-6	-80.8302
1.526035E-6	-85.892228
1.52608E-6	-87.461776
1.526125E-6	-88.253588
1.52617E-6	-88.389316
1.526215E-6	-87.004927
1.52626E-6	-79.366666
1.526305E-6	-73.769576
1.52635E-6	-71.767214
1.526395E-6	-70.918905
1.52644E-6	-70.705811
1.526485E-6	-70.559617
1.52653E-6	-70.529095
1.526575E-6	-70.51196
1.52662E-6	-70.747911
1.526665E-6	-71.73666
1.52671E-6	-74.964817
1.526755E-6	-79.722428
1.5268E-6	-84.46967
1.526845E-6	-85.779028
1.52689E-6	-85.783961
1.526935E-6	-87.597004
1.52698E-6	-85.027938
1.527025E-6	-81.255182
1.52707E-6	-73.82266
1.527115E-6	-70.795114
1.52716E-6	-69.796387
1.527205E-6	-69.488475
1.52725E-6	-69.385475
1.527295E-6	-69.310724
1.52734E-6	-69.284862
1.527385E-6	-69.434763
1.52743E-6	-70.089956
1.527475E-6	-72.619333
1.52752E-6	-77.370745
1.527565E-6	-81.803245
1.52761E-6	-86.051982
1.527655E-6	-87.520267
1.5277E-6	-86.445485
1.527745E-6	-85.628839
1.52779E-6	-82.104898
1.527835E-6	-74.396151
1.52788E-6	-70.401957
1.527925E-6	-69.147094
1.52797E-6	-68.50473
1.528015E-6	-68.443604
1.52806E-6	-68.341624
1.528105E-6	-68.404328
1.52815E-6	-68.359447
1.528195E-6	-68.837244
1.52824E-6	-70.857627
1.528285E-6	-74.93901
1.52833E-6	-79.722428
1.528375E-6	-83.719177
1.52842E-6	-86.367642
1.528465E-6	-85.718652
1.52851E-6	-86.435917
1.528555E-6	-91.926003
1.5286E-6	-74.863829
1.528645E-6	-70.522233
1.52869E-6	-68.471004
1.528735E-6	-67.870138
1.52878E-6	-67.662426
1.528825E-6	-67.659892
1.52887E-6	-67.609509
1.528915E-6	-67.685304
1.52896E-6	-67.90217
1.529005E-6	-69.496202
