Wavelength (nm)	Power (dBm)
1.525E-6	-70.808696
1.525045E-6	-70.958256
1.52509E-6	-71.37809
1.525135E-6	-73.391345
1.52518E-6	-77.500682
1.525225E-6	-81.332992
1.52527E-6	-84.890531
1.525315E-6	-85.816987
1.52536E-6	-86.548224
1.525405E-6	-86.010189
1.52545E-6	-83.795516
1.525495E-6	-75.505216
1.52554E-6	-71.944312
1.525585E-6	-70.203151
1.52563E-6	-69.714287
1.525675E-6	-69.461536
1.52572E-6	-69.24453
1.525765E-6	-69.08333
1.52581E-6	-68.941493
1.525855E-6	-69.329291
1.5259E-6	-70.963675
1.525945E-6	-74.748256
1.52599E-6	-79.434763
1.526035E-6	-83.72839
1.52608E-6	-85.480601
1.526125E-6	-86.170829
1.52617E-6	-86.315272
1.526215E-6	-83.547743
1.52626E-6	-76.013657
1.526305E-6	-71.023179
1.52635E-6	-69.020489
1.526395E-6	-68.259402
1.52644E-6	-68.04931
1.526485E-6	-67.923656
1.52653E-6	-67.856861
1.526575E-6	-67.825161
1.52662E-6	-68.06041
1.526665E-6	-69.34047
1.52671E-6	-72.213424
1.526755E-6	-77.269987
1.5268E-6	-82.159536
1.526845E-6	-85.848596
1.52689E-6	-84.23083
1.526935E-6	-84.151037
1.52698E-6	-82.850838
1.527025E-6	-76.439741
1.52707E-6	-70.951222
1.527115E-6	-67.93444
1.52716E-6	-67.037737
1.527205E-6	-66.813107
1.52725E-6	-66.710091
1.527295E-6	-66.5738
1.52734E-6	-66.623411
1.527385E-6	-66.720284
1.52743E-6	-67.736579
1.527475E-6	-70.112182
1.52752E-6	-75.005879
1.527565E-6	-79.943906
1.52761E-6	-83.725317
1.527655E-6	-87.609509
1.5277E-6	-86.027554
1.527745E-6	-84.914703
1.52779E-6	-79.734667
1.527835E-6	-71.298303
1.52788E-6	-67.525177
1.527925E-6	-66.225116
1.52797E-6	-65.893915
1.528015E-6	-65.818645
1.52806E-6	-65.774102
1.528105E-6	-65.780672
1.52815E-6	-65.779028
1.528195E-6	-66.352614
1.52824E-6	-68.507809
1.528285E-6	-72.480284
1.52833E-6	-78.735439
1.528375E-6	-82.79262
1.52842E-6	-84.301581
1.528465E-6	-82.920893
1.52851E-6	-84.189611
1.528555E-6	-81.691548
1.5286E-6	-72.198268
1.528645E-6	-67.428016
1.52869E-6	-65.752817
1.528735E-6	-65.243288
1.52878E-6	-65.131446
1.528825E-6	-65.086383
1.52887E-6	-65.034855
1.528915E-6	-65.004504
1.52896E-6	-65.31505
1.529005E-6	-66.916491
1.52905E-6	-70.186345
1.529095E-6	-75.752817
1.52914E-6	-80.90765
1.529185E-6	-84.244658
1.52923E-6	-83.866868
1.529275E-6	-84.769042
1.52932E-6	-84.997635
1.529365E-6	-73.882767
1.52941E-6	-68.37137
1.529455E-6	-65.67191
1.5295E-6	-64.754741
1.529545E-6	-64.580465
1.52959E-6	-64.541982
1.529635E-6	-64.530874
1.52968E-6	-64.464811
1.529725E-6	-64.650859
1.52977E-6	-65.73977
1.529815E-6	-68.616973
1.52986E-6	-73.28642
1.529905E-6	-79.172146
1.52995E-6	-83.02422
1.529995E-6	-84.259687
1.53004E-6	-83.952341
1.530085E-6	-83.965308
1.53013E-6	-76.22876
1.530175E-6	-69.566377
1.53022E-6	-65.831931
1.530265E-6	-64.568014
1.53031E-6	-64.248122
1.530355E-6	-64.234283
1.5304E-6	-64.13863
1.530445E-6	-64.155557
1.53049E-6	-64.175957
1.530535E-6	-64.878495
1.53058E-6	-67.055338
1.530625E-6	-70.802945
1.53067E-6	-77.026773
1.530715E-6	-81.88492
1.53076E-6	-85.998075
1.530805E-6	-84.535807
1.53085E-6	-84.541982
1.530895E-6	-79.804683
1.53094E-6	-71.243022
1.530985E-6	-66.411138
1.53103E-6	-64.606729
1.531075E-6	-64.116162
1.53112E-6	-63.989183
1.531165E-6	-63.971807
