#PIN	POUT	GAINFLATNESS	NF
-8	8	0.232855	8.93406604866
-7	9	0.48072	8.66976774602
-6	10	0.531775	8.50139202762
-5	11	0.498243	8.36363889478
-4	12	0.444915	8.30525178747
-3	13	0.42268	8.18933526441
-2	14	0.430214	8.11002091817
-1	15	0.70903	8.06206388677
0	16	0.650805	7.9826588356
1	17	0.610837	7.97557358683
2	18	0.779256	7.98555825773
3	19	0.80352	8.02437075168
4	20	1.050111	8.37588163686
5	21	1.763398	8.96156291679
-24	-7	0.720547	13.9443333756
-23	-6	0.649119	12.9522881841
-22	-5	0.534336	12.0963438759
-21	-4	0.393056	11.5069758757
-20	-3	0.30656	10.9998469248
-19	-2	0.296204	10.5557173605
-18	-1	0.252908	10.1693148166
-17	0	0.229899	9.91553467903
-16	1	0.165512	9.63426398835
-15	2	0.153866	9.37094883108
-14	3	0.143318	9.14994396896
-13	4	0.128644	8.88039262763
-12	5	0.116071	8.63929107299
-11	6	0.191415	8.43192875368
-10	7	0.201899	8.18431354641
-9	8	0.226246	7.98655779304
-8	9	0.516079	7.74610122874
-7	10	0.507621	7.54046505341
-6	11	0.50659	7.40151586755
-5	12	0.418285	7.39726415049
-4	13	0.41075	7.27681915431
-3	14	0.408036	7.20961494299
-2	15	0.658219	7.15849297372
-1	16	0.629587	7.07739536683
0	17	0.529066	7.07532155762
1	18	0.767011	7.14971738186
2	19	0.781632	7.19233093538
3	20	0.921751	7.41147000532
4	21	1.72931	7.87114496816
-25	-7	0.712867	13.0271922407
-24	-6	0.597318	12.1396631806
-23	-5	0.497167	11.3346595049
-22	-4	0.424738	10.6828800357
-21	-3	0.372167	10.1693323524
-20	-2	0.256921	9.73231890691
-19	-1	0.227862	9.41610334627
-18	0	0.231729	9.12170077651
-17	1	0.143675	8.86019991226
-16	2	0.17079	8.53698243593
-15	3	0.141476	8.32342534296
-14	4	0.13194	8.09651088695
-13	5	0.141774	7.7839748758
-12	6	0.19174	7.62589938519
-11	7	0.217193	7.3581366921
-10	8	0.194459	7.17047974484
-9	9	0.468725	6.98764465689
-8	10	0.480112	6.84094586118
-7	11	0.509983	6.64043728128
-6	12	0.431469	6.55482231516
-5	13	0.425795	6.47294674624
-4	14	0.445423	6.41503814501
-3	15	0.575583	6.39085674963
-2	16	0.569686	6.35039450475
-1	17	0.619055	6.32341023044
0	18	0.687571	6.39954858094
1	19	0.698274	6.36450776386
2	20	0.823474	6.51601862893
3	21	1.727941	7.01404674197
-26	-7	0.627866	12.2949840671
-25	-6	0.586875	11.3242409866
-24	-5	0.410304	10.5482757474
-23	-4	0.337131	9.95958903943
-22	-3	0.227226	9.42757387754
-21	-2	0.207344	9.02741721266
-20	-1	0.134253	8.67714963654
-19	0	0.11741	8.37987102446
-18	1	0.126139	8.12670650529
-17	2	0.078781	7.86170361771
-16	3	0.088717	7.60143092685
-15	4	0.052756	7.36957699396
-14	5	0.057271	7.12302086784
-13	6	0.202548	6.86518221076
-12	7	0.19744	6.70811885257
-11	8	0.202557	6.45008311899
-10	9	0.502069	6.29728116986
-9	10	0.50038	6.17501072013
-8	11	0.489429	6.07253221527
-7	12	0.462791	5.89411907561
-6	13	0.432407	5.81578388339
-5	14	0.435097	5.74840704974
-4	15	0.629188	5.74366938977
-3	16	0.589053	5.72311025869
-2	17	0.549706	5.6850799845
-1	18	0.610539	5.77778519319
0	19	0.625528	5.72469720646
1	20	0.679002	5.8770816871
2	21	1.501974	6.16987745293
-27	-7	0	10.8889525222
-26	-6	0.651345	10.6712053209
-25	-5	0.531675	9.91136636862
-24	-4	0.436564	9.32427731028
-23	-3	0.332911	8.77786305134
-22	-2	0.319943	8.36507142521
-21	-1	0.241602	8.06372625774
-20	0	0.22363	7.76115458572
-19	1	0.190338	7.49681336822
-18	2	0.161266	7.24841799567
-17	3	0.17529	7.01389562071
-16	4	0.165913	6.72193854521
-15	5	0.145995	6.54260345623
-14	6	0.196069	6.37908229545
-13	7	0.168061	6.16727412994
-12	8	0.196816	5.99752615936
-11	9	0.435361	5.80462673762
-10	10	0.441849	5.68907207387
-9	11	0.412446	5.57760457469
-8	12	0.450888	5.40547796691
-7	13	0.463427	5.30156057599
-6	14	0.449134	5.25965560693
-5	15	0.485855	5.25319536529
-4	16	0.475988	5.19756553967
-3	17	0.458467	5.17967694848
-2	18	0.532024	5.25600991527
-1	19	0.559297	5.24106089907
0	20	0.456804	5.3381305328
1	21	1.254225	5.58080904965
-28	-7	0	10.2779985131
-27	-6	0.634037	10.0161245611
-26	-5	0.549738	9.28089152023
-25	-4	0.467124	8.7398698379
-24	-3	0.3763	8.26384492959
-23	-2	0.311074	7.8437866205
-22	-1	0.304566	7.498211169
-21	0	0.223435	7.21361740444
-20	1	0.197828	6.97044421814
-19	2	0.195865	6.757828486
-18	3	0.152835	6.53553948836
-17	4	0.132091	6.28870311487
-16	5	0.16326	6.05071897198
-15	6	0.198036	5.93362964538
-14	7	0.197177	5.7268246821
-13	8	0.176539	5.57203945588
-12	9	0.46652	5.42890666302
-11	10	0.452597	5.29523171701
-10	11	0.494925	5.22206398183
-9	12	0.460209	4.97687953499
-8	13	0.466411	4.92497012098
-7	14	0.47538	4.87380223898
-6	15	0.539084	4.81037824294
-5	16	0.541611	4.83410800505
-4	17	0.481101	4.80907538823
-3	18	0.476562	4.81764741688
-2	19	0.544619	4.87582664489
-1	20	0.438947	4.91621058384
0	21	1.142598	5.05105755134
-28	-6	0.584762	9.4052709279
-27	-5	0.515121	8.8173266903
-26	-4	0.418773	8.21307601005
-25	-3	0.319454	7.78159187778
-24	-2	0.295932	7.41440421786
-23	-1	0.20032	7.04622566584
-22	0	0.183704	6.82720130437
-21	1	0.15433	6.56688306501
-20	2	0.102046	6.33705094786
-19	3	0.088764	6.18368916243
-18	4	0.0963	5.90465091121
-17	5	0.044569	5.73985073337
-16	6	0.204858	5.56056730996
-15	7	0.211749	5.42063790497
-14	8	0.187957	5.23960410855
-13	9	0.472833	5.16845034426
-12	10	0.438434	5.02984909371
-11	11	0.4499	4.97338320062
-10	12	0.430206	4.75465772094
-9	13	0.486471	4.71585881287
-8	14	0.459918	4.61984720856
-7	15	0.456735	4.61775276325
-6	16	0.500174	4.59013169156
-5	17	0.465642	4.5380437791
-4	18	0.524717	4.55968041686
-3	19	0.566774	4.51278603215
-2	20	0.477421	4.5782105323
-1	21	1.17745	4.72559410531
-29	-6	0.638268	9.03621700821
-28	-5	0.523694	8.37044939776
-27	-4	0.424808	7.85522284177
-26	-3	0.304408	7.37471114875
-25	-2	0.242557	7.02437944804
-24	-1	0.228587	6.73314823856
-23	0	0.202394	6.45562564803
-22	1	0.178431	6.23954013022
-21	2	0.089849	6.07143540632
-20	3	0.09136	5.81246556738
-19	4	0.095165	5.65921939759
-18	5	0.042788	5.46922798371
-17	6	0.168679	5.3413860329
-16	7	0.19172	5.22076158287
-15	8	0.210071	5.08237165645
-14	9	0.431619	5.00885819476
-13	10	0.452307	4.89179888302
-12	11	0.433655	4.81884076232
-11	12	0.434118	4.64417273301
-10	13	0.389011	4.58833782798
-9	14	0.391118	4.51266660825
-8	15	0.472409	4.48886016283
-7	16	0.464221	4.44685489559
-6	17	0.459682	4.41502623168
-5	18	0.590805	4.32580940229
-4	19	0.682242	4.32877270779
-3	20	0.671774	4.36221960526
-2	21	0.890447	4.43134733033
-30	-6	0	7.95813916966
-29	-5	0.689198	7.84320619072
-28	-4	0.582998	7.39160692686
-27	-3	0.555647	7.01782876024
-26	-2	0.470692	6.64800477854
-25	-1	0.358712	6.35899935016
-24	0	0.350994	6.10580061917
-23	1	0.318892	5.88878346508
-22	2	0.28976	5.69178628368
-21	3	0.242581	5.48432071668
-20	4	0.240678	5.35327937708
-19	5	0.223423	5.1939736867
-18	6	0.231626	5.11172917566
-17	7	0.239567	4.94762734825
-16	8	0.225903	4.8493280471
-15	9	0.351136	4.82267043911
-14	10	0.309727	4.70898379499
-13	11	0.352989	4.64040753785
-12	12	0.342995	4.61403328179
-11	13	0.337844	4.53714250654
-10	14	0.312028	4.51011917193
-9	15	0.744926	4.43096381575
-8	16	0.683321	4.33521154544
-7	17	0.617104	4.34340326956
-6	18	0.719262	4.28594317979
-5	19	0.66817	4.30517224353
-4	20	0.50978	4.29267969536
-3	21	1.131325	4.34186916678
-30	-5	0.536713	7.74410375245
-29	-4	0.431004	7.22650948456
-28	-3	0.353635	6.84863652026
-27	-2	0.29544	6.49368643518
-26	-1	0.282085	6.27029701161
-25	0	0.206632	6.02566664456
-24	1	0.154943	5.83779906435
-23	2	0.155156	5.64463979659
-22	3	0.103527	5.5223232606
-21	4	0.096158	5.33234861138
-20	5	0.075437	5.19115589528
-19	6	0.17529	5.10753923846
-18	7	0.184573	4.97808199435
-17	8	0.175398	4.9017089584
-16	9	0.48406	4.8169252186
-15	10	0.489258	4.77568922032
-14	11	0.481794	4.66442608174
-13	12	0.485248	4.60780814778
-12	13	0.514205	4.56307880181
-11	14	0.498035	4.44030893879
-10	15	0.605096	4.47964287266
-9	16	0.648836	4.44985936815
-8	17	0.624831	4.43284672911
-7	18	0.802883	4.22547183242
-6	19	0.849442	4.28022954163
-5	20	0.962894	4.32637332231
-4	21	0.526393	4.3065815575
-31	-5	0	7.24494090565
-30	-4	0.389157	7.12299140094
-29	-3	0.35621	6.70971454311
-28	-2	0.276873	6.42372442438
-27	-1	0.251929	6.19926510936
-26	0	0.178102	5.96143079636
-25	1	0.122065	5.80663505592
-24	2	0.058475	5.6364722272
-23	3	0.014639	5.4794386226
-22	4	0.015132	5.37846479156
-21	5	0.011094	5.20240993382
-20	6	0.101101	5.12435213954
-19	7	0.112144	5.01591731627
-18	8	0.108149	4.90853601606
-17	9	0.599723	4.98410576641
