Wavelength (nm)	Noise Figure (dB)
1.52887E-6	4.247308
1.52968E-6	4.274239
1.530445E-6	4.314687
1.53121E-6	4.307836
1.531975E-6	4.41799
1.532695E-6	4.261853
1.53346E-6	4.15757
1.53427E-6	4.296467
1.535035E-6	4.221046
1.5358E-6	4.05568
1.53661E-6	4.222076
1.53742E-6	4.244431
1.538275E-6	3.909434
1.539085E-6	4.21522
1.53985E-6	4.259521
1.54066E-6	4.284384
1.54147E-6	4.919028
1.542235E-6	4.322571
1.543045E-6	4.285862
1.54381E-6	4.316488
1.54462E-6	4.35482
1.545385E-6	4.218283
1.546195E-6	4.364721
1.547005E-6	4.355905
1.547815E-6	4.75129
1.54858E-6	4.377135
1.54939E-6	4.384427
1.5502E-6	4.422595
1.550965E-6	4.142246
1.55182E-6	4.409867
1.55263E-6	4.444158
1.553395E-6	3.891226
1.554205E-6	4.43529
1.55497E-6	4.359385
1.55587E-6	5.266542
1.55659E-6	4.423656
1.557445E-6	4.452862
1.55821E-6	4.466479
1.55902E-6	4.15
1.559785E-6	4.426759
1.560595E-6	4.375719
1.561405E-6	4.344549
1.562215E-6	4.276877
1.563025E-6	4.226695
1.563835E-6	4.171358
1.564645E-6	4.067989
1.5655E-6	3.172123
1.56631E-6	3.993238
