Wavelength (nm)	Noise Figure (dB)
1.52887E-6	4.19982
1.52968E-6	4.263427
1.530445E-6	4.298895
1.531165E-6	4.261877
1.531975E-6	4.292819
1.532695E-6	4.254151
1.53346E-6	4.176819
1.53427E-6	4.271373
1.535035E-6	4.181579
1.5358E-6	4.990611
1.53661E-6	4.142404
1.53742E-6	4.148719
1.53823E-6	3.972184
1.539085E-6	4.244182
1.53985E-6	4.284612
1.54066E-6	4.272045
1.541425E-6	4.253177
1.542235E-6	4.289628
1.543045E-6	4.772981
1.54381E-6	4.327997
1.544575E-6	4.025958
1.54543E-6	4.374439
1.54615E-6	4.34864
1.547005E-6	4.36825
1.547815E-6	4.347776
1.54858E-6	3.785021
1.54939E-6	4.385246
1.5502E-6	4.452867
1.55101E-6	4.72213
1.55182E-6	4.411295
1.55263E-6	4.413586
1.55344E-6	5.008828
1.554205E-6	4.406817
1.555015E-6	4.463588
1.555825E-6	4.435624
1.556635E-6	4.501266
1.5574E-6	4.436802
1.55821E-6	4.11687
1.558975E-6	4.827334
1.559785E-6	4.415307
1.560595E-6	4.38761
1.561405E-6	4.329286
1.562215E-6	4.272579
1.563025E-6	4.217097
1.563835E-6	4.154054
1.564645E-6	4.077715
1.5655E-6	3.09694
1.56631E-6	4.080149
