Wavelength (nm)	Noise Figure (dB)
1.52887E-6	14.862786
1.529635E-6	15.1733
1.530445E-6	15.56465
1.53121E-6	16.077605
1.53193E-6	15.625297
1.532695E-6	15.662889
1.53346E-6	15.414673
1.534225E-6	15.890472
1.535035E-6	14.636238
1.5358E-6	14.207776
1.53661E-6	13.742647
1.53742E-6	13.388191
1.538275E-6	13.525617
1.53904E-6	13.226634
1.53985E-6	13.372024
1.54066E-6	14.056489
1.541425E-6	13.762658
1.542235E-6	14.004388
1.543045E-6	14.227339
1.54381E-6	14.319184
1.54462E-6	14.786054
1.545385E-6	14.526987
1.546195E-6	14.60298
1.547005E-6	14.63889
1.54777E-6	14.19056
1.54858E-6	14.634815
1.54939E-6	14.81463
1.5502E-6	14.717434
1.55101E-6	14.769806
1.55182E-6	15.251865
1.55263E-6	14.880554
1.553395E-6	14.234153
1.554205E-6	14.954084
1.55497E-6	14.88476
1.55578E-6	14.885069
1.55659E-6	15.079423
1.557445E-6	15.105923
1.558165E-6	15.317394
1.558975E-6	15.207056
1.559785E-6	14.747257
1.560595E-6	14.522799
1.561405E-6	14.221466
1.562215E-6	13.861905
1.563025E-6	13.426227
1.563835E-6	12.968617
1.564645E-6	12.476831
1.565455E-6	12.011016
1.56631E-6	11.55174
