Wavelength (nm)	Noise Figure (dB)
1.529635E-6	3.857465
1.53121E-6	4.62786
1.53274E-6	4.180458
1.53427E-6	4.280351
1.5358E-6	4.210072
1.53742E-6	4.210755
1.539085E-6	4.218051
1.54066E-6	4.234028
1.542235E-6	4.256473
1.54381E-6	4.370454
1.545385E-6	4.237245
1.547005E-6	4.225493
1.54858E-6	4.16735
1.550155E-6	4.187102
1.55182E-6	4.189861
1.55344E-6	4.687407
1.555015E-6	3.607892
1.55659E-6	3.979727
1.55821E-6	3.997489
1.559785E-6	4.06096
1.561405E-6	3.999143
1.563025E-6	3.914717
1.564645E-6	3.86903
1.56631E-6	3.778295
