Wavelength (nm)	Noise Figure (dB)
1.52887E-6	4.112174
1.52968E-6	4.163645
1.530445E-6	4.1792
1.53121E-6	4.168612
1.531975E-6	4.154546
1.532695E-6	4.15806
1.533505E-6	3.644763
1.534225E-6	4.055923
1.535035E-6	4.078408
1.5358E-6	4.006459
1.53661E-6	4.05381
1.53742E-6	4.092266
1.538275E-6	4.2724
1.539085E-6	4.516403
1.53985E-6	4.090408
1.54066E-6	4.093527
1.541425E-6	4.127365
1.542235E-6	4.112076
1.543045E-6	4.138882
1.54381E-6	4.200582
1.54462E-6	4.101712
1.54543E-6	4.456444
1.54624E-6	4.696692
1.547005E-6	4.0636
1.547815E-6	4.420431
1.54858E-6	4.058469
1.549345E-6	4.03149
1.550155E-6	4.048892
1.55101E-6	4.043394
1.55182E-6	4.089547
1.55263E-6	4.075379
1.55344E-6	4.550742
1.55425E-6	4.583058
1.555015E-6	4.045251
1.555825E-6	4.120394
1.556635E-6	4.04992
1.5574E-6	3.877147
1.55821E-6	3.712329
1.558975E-6	4.376431
1.559785E-6	4.002108
1.560595E-6	3.940381
1.561405E-6	3.926487
1.562215E-6	3.902876
1.563025E-6	3.826281
1.563835E-6	3.872664
1.564645E-6	3.792407
1.5655E-6	3.141846
1.56631E-6	3.714463
