Wavelength (nm)	Noise Figure (dB)
1.52887E-6	5.972623
1.529635E-6	5.323273
1.530445E-6	6.313784
1.53121E-6	6.353115
1.53193E-6	6.310146
1.53274E-6	6.430026
1.53346E-6	6.27434
1.53427E-6	6.217308
1.535035E-6	6.090379
1.5358E-6	5.940527
1.53661E-6	5.821729
1.53742E-6	5.81004
1.538275E-6	5.86994
1.53904E-6	5.41625
1.53985E-6	5.95606
1.54066E-6	6.082441
1.541425E-6	6.176872
1.542235E-6	6.249176
1.543045E-6	6.403619
1.54381E-6	6.432467
1.54462E-6	6.495993
1.54543E-6	6.61452
1.546195E-6	6.583148
1.54696E-6	6.342254
1.547815E-6	7.012332
1.54858E-6	6.403323
1.549345E-6	6.681519
1.5502E-6	6.783522
1.55101E-6	7.036876
1.55182E-6	6.796392
1.55263E-6	6.909685
1.55344E-6	6.954773
1.55425E-6	7.023488
1.555015E-6	6.967039
1.555825E-6	7.023837
1.55659E-6	6.993267
1.557445E-6	7.178554
1.55821E-6	7.055748
1.55902E-6	7.024198
1.559785E-6	7.294902
1.560595E-6	7.220147
1.561405E-6	6.635905
1.562215E-6	6.46261
1.563025E-6	6.248386
1.563835E-6	6.045838
1.564645E-6	5.807024
1.565455E-6	6.684595
1.56631E-6	5.544178
