Wavelength (nm)	Noise Figure (dB)
1.52887E-6	8.867267
1.529635E-6	8.315875
1.530445E-6	9.391567
1.53121E-6	9.531162
1.53193E-6	9.601205
1.532695E-6	9.567899
1.53346E-6	9.465637
1.534225E-6	10.44035
1.535035E-6	9.05084
1.5358E-6	8.691687
1.53661E-6	8.566618
1.53742E-6	8.360196
1.538275E-6	8.288477
1.539085E-6	8.912978
1.53985E-6	8.40708
1.54066E-6	8.610573
1.541425E-6	8.76573
1.542235E-6	8.893674
1.543045E-6	9.059833
1.54381E-6	9.148241
1.54462E-6	9.27344
1.545385E-6	8.764166
1.546195E-6	9.412876
1.547005E-6	9.737242
1.547815E-6	9.933422
1.54858E-6	9.517611
1.54939E-6	9.618823
1.5502E-6	9.631734
1.55101E-6	9.668886
1.55182E-6	9.691791
1.55263E-6	9.76763
1.553395E-6	9.146421
1.554205E-6	9.841132
1.555015E-6	9.901911
1.55578E-6	9.817936
1.55659E-6	9.823809
1.5574E-6	9.833112
1.55821E-6	9.999446
1.55902E-6	9.592145
1.559785E-6	9.797323
1.560595E-6	9.607016
1.561405E-6	9.449782
1.562215E-6	9.167425
1.563025E-6	8.873991
1.563835E-6	8.537374
1.564645E-6	8.196987
1.565455E-6	7.827801
1.56631E-6	7.524022
