Wavelength (nm)	Channel Gain (dB)
1.52887E-6	16.414155
1.529635E-6	16.236777
1.530445E-6	15.972862
1.53121E-6	15.850432
1.531975E-6	15.770893
1.53274E-6	15.808817
1.53346E-6	15.781934
1.53427E-6	15.785776
1.535035E-6	15.865415
1.5358E-6	15.921937
1.53661E-6	16.06725
1.53742E-6	16.184735
1.538275E-6	16.090126
1.539085E-6	16.309676
1.53985E-6	16.807023
1.54066E-6	16.230342
1.541425E-6	16.211727
1.542235E-6	16.197955
1.543045E-6	16.13927
1.54381E-6	16.148738
1.54462E-6	15.846368
1.545385E-6	16.431051
1.546195E-6	16.015131
1.547005E-6	15.964843
1.54777E-6	16.269806
1.54858E-6	15.952122
1.549345E-6	16.006933
1.5502E-6	15.943204
1.55101E-6	15.966851
1.55182E-6	15.969962
1.55263E-6	15.984424
1.55344E-6	15.979837
1.554205E-6	15.990953
1.555015E-6	15.989386
1.555825E-6	16.001934
1.55659E-6	16.146047
1.5574E-6	16.161704
1.558255E-6	15.846906
1.55902E-6	15.983841
1.55983E-6	16.265967
1.560595E-6	16.007942
1.561405E-6	16.029588
1.562215E-6	16.07481
1.563025E-6	16.13301
1.563835E-6	16.168688
1.564645E-6	16.215311
1.565455E-6	15.712853
1.56631E-6	16.236749
