Wavelength (nm)	Channel Gain (dB)
1.52887E-6	22.215291
1.52968E-6	21.721975
1.530445E-6	22.096063
1.53121E-6	22.052594
1.531975E-6	21.924935
1.532695E-6	22.032878
1.53346E-6	22.045967
1.53427E-6	22.08724
1.535035E-6	22.043275
1.5358E-6	22.095602
1.53661E-6	22.153033
1.53742E-6	22.678488
1.53823E-6	22.519681
1.539085E-6	22.333719
1.53985E-6	22.297359
1.54066E-6	22.264722
1.541425E-6	22.223712
1.542235E-6	22.210767
1.543045E-6	21.801556
1.54381E-6	22.157649
1.544575E-6	22.109968
1.545385E-6	22.473833
1.546195E-6	22.042273
1.547005E-6	22.009885
1.54777E-6	22.309247
1.54858E-6	21.964784
1.549345E-6	22.051296
1.5502E-6	21.964562
1.55101E-6	21.982101
1.55182E-6	21.982951
1.55263E-6	21.99986
1.55344E-6	21.556627
1.554205E-6	21.964333
1.555015E-6	21.979546
1.55578E-6	22.081536
1.556635E-6	21.958362
1.5574E-6	22.210693
1.55821E-6	22.172614
1.558975E-6	21.603934
1.559785E-6	21.874558
1.560595E-6	21.887562
1.561405E-6	21.907802
1.562215E-6	21.934776
1.563025E-6	22.02501
1.563835E-6	22.079586
1.564645E-6	22.117339
1.5655E-6	22.635149
1.56631E-6	22.135357
