Wavelength (nm)	Channel Gain (dB)
1.52887E-6	17.643486
1.52968E-6	17.074371
1.530445E-6	17.361797
1.53121E-6	17.249388
1.53193E-6	17.254929
1.53274E-6	17.195674
1.53346E-6	17.239006
1.53427E-6	17.700033
1.535035E-6	17.329319
1.5358E-6	17.402461
1.53661E-6	17.525918
1.53742E-6	17.654809
1.538275E-6	17.579696
1.539085E-6	17.763524
1.53985E-6	17.753689
1.54066E-6	17.711202
1.541425E-6	17.676362
1.542235E-6	17.660975
1.543045E-6	17.631375
1.54381E-6	18.104523
1.54462E-6	17.584711
1.545385E-6	17.550333
1.546195E-6	17.501258
1.547005E-6	17.482936
1.547815E-6	17.483119
1.54858E-6	17.46687
1.54939E-6	17.468032
1.5502E-6	17.482927
1.55101E-6	17.500807
1.55182E-6	17.513198
1.55263E-6	17.509264
1.55344E-6	17.122837
1.55425E-6	17.516028
1.555015E-6	17.462518
1.555825E-6	17.5371
1.556635E-6	17.544318
1.557445E-6	17.39027
1.55821E-6	17.536538
1.55902E-6	17.525817
1.559785E-6	17.247512
1.560595E-6	17.552378
1.561405E-6	17.587017
1.562215E-6	17.635689
1.563025E-6	17.707913
1.563835E-6	17.764709
1.564645E-6	17.821046
1.5655E-6	17.8525
1.56631E-6	17.883387
