Wavelength (nm)	Noise Figure (dB)
1.52887E-6	9.820872
1.529635E-6	10.067988
1.530445E-6	10.376956
1.53121E-6	10.547901
1.53193E-6	10.416588
1.532695E-6	10.677929
1.53346E-6	10.317748
1.53427E-6	10.113917
1.535035E-6	9.826667
1.5358E-6	9.480246
1.53661E-6	9.249777
1.53742E-6	8.995683
1.538275E-6	8.935325
1.539085E-6	8.955264
1.53985E-6	9.02721
1.54066E-6	9.203859
1.541425E-6	9.347042
1.542235E-6	9.515655
1.543045E-6	9.70867
1.54381E-6	9.796739
1.54462E-6	9.888681
1.545385E-6	9.93048
1.546195E-6	10.03581
1.54696E-6	9.769759
1.54777E-6	10.068421
1.54858E-6	10.106409
1.549345E-6	10.090703
1.5502E-6	10.189978
1.55101E-6	10.224173
1.55182E-6	10.272274
1.55263E-6	10.313333
1.553395E-6	10.330293
1.554205E-6	10.386087
1.555015E-6	9.50547
1.555825E-6	10.480262
1.55659E-6	10.482571
1.5574E-6	10.504135
1.55821E-6	10.492707
1.558975E-6	10.407638
1.559785E-6	10.270158
1.560595E-6	10.103663
1.561405E-6	9.845574
1.562215E-6	9.577077
1.563025E-6	9.247879
1.563835E-6	8.929217
1.564645E-6	8.563465
1.5655E-6	6.893948
1.56631E-6	7.854843
