Wavelength (nm)	Channel Gain (dB)
1.52887E-6	10.613577
1.529635E-6	10.418591
1.530445E-6	10.151432
1.53121E-6	9.98997
1.531975E-6	9.950552
1.532695E-6	9.994392
1.53346E-6	10.099045
1.53427E-6	10.232981
1.535035E-6	10.411011
1.5358E-6	10.626194
1.53661E-6	10.845228
1.537465E-6	11.458755
1.538275E-6	11.010195
1.539085E-6	10.901145
1.53985E-6	11.319806
1.54066E-6	11.299172
1.541425E-6	11.28147
1.542235E-6	11.267443
1.543045E-6	11.256019
1.54381E-6	11.242629
1.54462E-6	11.221522
1.54543E-6	10.795537
1.546195E-6	11.18549
1.54696E-6	11.422257
1.54777E-6	11.204002
1.54858E-6	11.214117
1.549345E-6	11.26294
1.550155E-6	11.292157
1.55101E-6	11.059156
1.55182E-6	11.353602
1.55263E-6	11.374906
1.553395E-6	11.413548
1.554205E-6	11.40848
1.555015E-6	11.450166
1.555825E-6	11.443363
1.556635E-6	11.473281
1.557445E-6	11.498556
1.55821E-6	11.707218
1.55902E-6	11.722809
1.559785E-6	11.568286
1.56064E-6	11.886199
1.561405E-6	11.691126
1.562215E-6	11.765636
1.563025E-6	11.873173
1.563835E-6	11.972272
1.564645E-6	12.05512
1.565455E-6	12.108845
1.56631E-6	12.171127
