Wavelength (nm)	Noise Figure (dB)
1.52887E-6	16.251084
1.529635E-6	16.542341
1.530445E-6	16.919183
1.53121E-6	17.089865
1.531975E-6	17.103052
1.532695E-6	16.946703
1.53346E-6	16.600323
1.534225E-6	17.037855
1.535035E-6	15.729345
1.5358E-6	15.273329
1.53661E-6	14.714178
1.53742E-6	14.307572
1.53823E-6	13.836861
1.53904E-6	13.470344
1.53985E-6	14.205717
1.54066E-6	14.420476
1.541425E-6	14.589835
1.542235E-6	14.838353
1.543045E-6	15.020831
1.54381E-6	15.144618
1.54462E-6	15.255053
1.545385E-6	15.314995
1.546195E-6	15.381312
1.547005E-6	15.394009
1.54777E-6	14.971569
1.54858E-6	15.422771
1.54939E-6	15.447907
1.5502E-6	15.688133
1.55101E-6	15.495473
1.55182E-6	15.529225
1.55263E-6	15.579592
1.553395E-6	14.90326
1.55425E-6	16.400043
1.555015E-6	15.713729
1.55578E-6	15.555917
1.55659E-6	15.771063
1.557445E-6	15.949915
1.55821E-6	15.654173
1.558975E-6	15.829625
1.559785E-6	15.625365
1.560595E-6	15.107497
1.561405E-6	14.779406
1.562215E-6	14.39453
1.563025E-6	13.952566
1.563835E-6	13.457965
1.564645E-6	12.916639
1.565455E-6	12.387186
1.56631E-6	11.916567
