Wavelength (nm)	Noise Figure (dB)
1.529635E-6	12.732082
1.53121E-6	13.249639
1.532695E-6	13.249185
1.534225E-6	13.416861
1.5358E-6	11.763369
1.53742E-6	11.105698
1.539085E-6	11.534122
1.54066E-6	11.321269
1.542235E-6	11.676731
1.54381E-6	11.954994
1.545385E-6	12.13587
1.547005E-6	12.498865
1.548535E-6	12.291877
1.5502E-6	12.347247
1.55182E-6	12.41243
1.553395E-6	12.479968
1.55497E-6	12.48617
1.55659E-6	12.609992
1.558165E-6	12.707133
1.559785E-6	12.357389
1.561405E-6	11.880774
1.563025E-6	11.176389
1.564645E-6	10.418517
1.56631E-6	9.582843
