Wavelength (nm)	Noise Figure (dB)
1.52968E-6	5.054753
1.53121E-6	4.455294
1.532695E-6	4.492814
1.53427E-6	3.669629
1.5358E-6	4.188564
1.53742E-6	4.197453
1.539085E-6	4.245976
1.54066E-6	4.281457
1.542235E-6	4.254203
1.54381E-6	4.248769
1.545385E-6	4.217038
1.547005E-6	4.20619
1.54858E-6	4.15608
1.5502E-6	4.157458
1.55182E-6	4.175863
1.553395E-6	4.124347
1.55497E-6	4.01894
1.55659E-6	4.075367
1.558165E-6	4.080906
1.559785E-6	4.036103
1.561405E-6	3.987177
1.563025E-6	3.961514
1.564645E-6	3.814453
1.56631E-6	3.119824
