Wavelength (nm)	Noise Figure (dB)
1.52887E-6	4.347742
1.529635E-6	4.391591
1.530445E-6	4.424422
1.53121E-6	4.358385
1.531975E-6	4.355663
1.532695E-6	4.403012
1.53346E-6	4.200695
1.534225E-6	4.656132
1.535035E-6	4.112268
1.5358E-6	4.101712
1.53661E-6	4.088522
1.53742E-6	3.502031
1.53823E-6	3.735054
1.539085E-6	4.130137
1.53985E-6	4.118803
1.54066E-6	4.133019
1.541425E-6	4.12514
1.542235E-6	4.115763
1.543045E-6	4.133542
1.54381E-6	4.107528
1.54462E-6	4.096998
1.545385E-6	4.076577
1.546195E-6	4.153662
1.547005E-6	4.063034
1.547815E-6	4.063778
1.54858E-6	4.009786
1.54939E-6	4.024775
1.5502E-6	4.034066
1.550965E-6	4.019597
1.55182E-6	4.029823
1.55263E-6	4.00434
1.55344E-6	4.423373
1.554205E-6	3.960021
1.555015E-6	3.938501
1.555825E-6	4.029095
1.556635E-6	4.110072
1.5574E-6	3.802121
1.558165E-6	4.239274
1.558975E-6	3.914522
1.559785E-6	4.199338
1.560595E-6	3.862095
1.561405E-6	3.797099
1.562215E-6	3.796893
1.563025E-6	3.765317
1.563835E-6	3.751015
1.564645E-6	3.733135
1.5655E-6	3.093444
1.56631E-6	3.669913
