Wavelength (nm)	Noise Figure (dB)
1.52887E-6	4.051686
1.529635E-6	3.518375
1.530445E-6	4.097858
1.53121E-6	4.059826
1.53193E-6	4.052156
1.532695E-6	4.146159
1.53346E-6	3.977177
1.534225E-6	4.591563
1.535035E-6	3.966837
1.5358E-6	3.90048
1.53661E-6	3.945671
1.53742E-6	3.982688
1.53823E-6	3.597072
1.53904E-6	3.558447
1.53985E-6	4.029271
1.54066E-6	4.027404
1.541425E-6	3.968008
1.542235E-6	3.941284
1.543045E-6	4.447151
1.54381E-6	4.017187
1.54462E-6	4.031758
1.545385E-6	3.562772
1.546195E-6	3.981718
1.547005E-6	3.99706
1.54777E-6	3.607194
1.54858E-6	3.970167
1.549345E-6	3.897439
1.5502E-6	4.018953
1.55101E-6	3.991993
1.55182E-6	3.993451
1.552585E-6	3.983905
1.55344E-6	4.479549
1.55425E-6	4.507366
1.55506E-6	4.00491
1.555825E-6	3.980619
1.556635E-6	4.033255
1.557445E-6	4.178405
1.55821E-6	3.627127
1.558975E-6	4.253586
1.559785E-6	3.903344
1.560595E-6	3.856781
1.561405E-6	3.827517
1.562215E-6	3.820035
1.563025E-6	3.737674
1.563835E-6	3.719585
1.564645E-6	3.675676
1.565455E-6	3.620783
1.56631E-6	3.640557
