Wavelength (nm)	Channel Gain (dB)
1.52887E-6	20.780122
1.52968E-6	20.285643
1.530445E-6	20.679403
1.53121E-6	20.348806
1.531975E-6	20.473593
1.532695E-6	20.512298
1.53346E-6	20.326626
1.53427E-6	20.628473
1.535035E-6	20.628677
1.5358E-6	20.650277
1.53661E-6	20.727061
1.53742E-6	20.850171
1.53823E-6	20.928429
1.539085E-6	20.966948
1.53985E-6	20.935829
1.54066E-6	20.901643
1.541425E-6	20.858361
1.542235E-6	20.844172
1.543045E-6	20.8477
1.54381E-6	20.818444
1.54462E-6	20.779719
1.545385E-6	20.750439
1.546195E-6	20.705347
1.547005E-6	20.699441
1.547815E-6	20.665325
1.54858E-6	20.653371
1.54939E-6	20.55669
1.5502E-6	20.663102
1.55101E-6	20.669081
1.55182E-6	20.68138
1.55263E-6	20.303202
1.55344E-6	20.263644
1.554205E-6	20.614319
1.555015E-6	20.67893
1.555825E-6	20.6603
1.55659E-6	20.646411
1.557445E-6	20.474319
1.55821E-6	20.893817
1.558975E-6	20.337728
1.559785E-6	20.622556
1.560595E-6	20.626893
1.561405E-6	20.656294
1.562215E-6	20.679404
1.563025E-6	20.750143
1.563835E-6	20.823851
1.564645E-6	20.862408
1.5655E-6	21.4019
1.56631E-6	20.924087
