Wavelength (nm)	Noise Figure (dB)
1.52887E-6	12.785491
1.529635E-6	13.074307
1.530445E-6	13.466051
1.53121E-6	13.934582
1.531975E-6	13.759206
1.532695E-6	13.539346
1.53346E-6	13.300588
1.53427E-6	13.006154
1.535035E-6	12.589345
1.5358E-6	12.102147
1.53661E-6	11.774865
1.53742E-6	11.465907
1.53823E-6	11.334476
1.539085E-6	11.360057
1.53985E-6	11.435706
1.54066E-6	11.637906
1.541425E-6	11.803579
1.542235E-6	11.998459
1.543045E-6	12.225905
1.54381E-6	12.307007
1.54462E-6	12.430924
1.545385E-6	12.498937
1.546195E-6	12.543944
1.547005E-6	12.586237
1.54777E-6	12.602883
1.54858E-6	12.650579
1.54939E-6	12.664772
1.5502E-6	12.87665
1.55101E-6	12.725953
1.55182E-6	12.743405
1.552585E-6	12.198552
1.553395E-6	12.134788
1.554205E-6	12.878529
1.55497E-6	12.912635
1.555825E-6	13.024648
1.55659E-6	13.007809
1.557445E-6	13.233069
1.55821E-6	12.631257
1.55902E-6	12.879645
1.559785E-6	13.021683
1.560595E-6	12.797775
1.561405E-6	12.201868
1.562215E-6	11.867683
1.563025E-6	11.462299
1.563835E-6	11.023491
1.564645E-6	10.581825
1.565455E-6	10.104675
1.56631E-6	9.756408
