Wavelength (nm)	Noise Figure (dB)
1.52968E-6	5.344565
1.53121E-6	5.368271
1.532695E-6	5.218001
1.53427E-6	5.188954
1.5358E-6	5.007825
1.53742E-6	4.980618
1.539085E-6	5.134913
1.54066E-6	5.192917
1.542235E-6	5.348086
1.54381E-6	5.404592
1.545385E-6	4.957529
1.547005E-6	5.512825
1.54858E-6	5.521011
1.5502E-6	5.609897
1.55182E-6	5.656461
1.55344E-6	5.751098
1.555015E-6	5.683389
1.55659E-6	5.683145
1.55821E-6	5.737922
1.559785E-6	6.040635
1.561405E-6	5.437952
1.563025E-6	5.210237
1.564645E-6	5.810169
1.56631E-6	4.794728
