Wavelength (nm)	Noise Figure (dB)
1.529635E-6	6.727868
1.53121E-6	7.764368
1.532695E-6	7.66144
1.53427E-6	7.461523
1.5358E-6	7.133897
1.537465E-6	6.708603
1.539085E-6	6.872777
1.54066E-6	7.039588
1.542235E-6	7.275218
1.54381E-6	7.423514
1.545385E-6	7.076179
1.547005E-6	7.677103
1.54858E-6	7.193235
1.5502E-6	7.903751
1.55182E-6	7.847651
1.553395E-6	7.344685
1.555015E-6	7.996511
1.55659E-6	7.960751
1.55821E-6	8.030424
1.559785E-6	7.886714
1.561405E-6	7.582549
1.563025E-6	7.127937
1.564645E-6	6.634529
1.56631E-6	6.240522
