Wavelength (nm)	Noise Figure (dB)
1.52887E-6	4.650632
1.52968E-6	5.384329
1.530445E-6	4.783083
1.53121E-6	5.161045
1.531975E-6	4.906896
1.532695E-6	4.801261
1.53346E-6	4.661055
1.53427E-6	4.731187
1.535035E-6	4.668222
1.5358E-6	4.432186
1.53661E-6	4.57164
1.53742E-6	4.641706
1.53823E-6	3.898088
1.53904E-6	4.198427
1.53985E-6	4.668254
1.54066E-6	4.76822
1.541425E-6	4.815626
1.542235E-6	4.858587
1.543045E-6	5.371208
1.54381E-6	4.830563
1.54462E-6	4.842489
1.545385E-6	4.969039
1.546195E-6	4.994238
1.547005E-6	5.007805
1.54777E-6	5.027146
1.54858E-6	4.847837
1.549345E-6	5.021911
1.5502E-6	5.065527
1.55101E-6	5.360669
1.55182E-6	5.101423
1.55263E-6	5.147873
1.55344E-6	5.18105
1.554205E-6	5.160536
1.555015E-6	5.175202
1.555825E-6	5.194725
1.55659E-6	5.184442
1.557445E-6	5.356665
1.55821E-6	4.833153
1.558975E-6	5.225588
1.55983E-6	4.756906
1.560595E-6	5.06207
1.561405E-6	5.031603
1.562215E-6	4.892037
1.563025E-6	4.78213
1.563835E-6	4.677769
1.564645E-6	4.516851
1.565455E-6	4.304544
1.56631E-6	4.42598
