Wavelength (nm)	Noise Figure (dB)
1.52887E-6	8.274811
1.529635E-6	7.685055
1.530445E-6	8.73686
1.53121E-6	8.839839
1.531975E-6	8.870024
1.532695E-6	8.776675
1.53346E-6	8.590077
1.53427E-6	8.450941
1.535035E-6	8.169002
1.5358E-6	9.307141
1.53661E-6	7.716094
1.53742E-6	7.487632
1.538275E-6	7.673114
1.539085E-6	7.53716
1.53985E-6	7.537645
1.54066E-6	7.665994
1.541425E-6	7.065647
1.542235E-6	7.920009
1.543045E-6	8.113056
1.54381E-6	8.170053
1.54462E-6	8.238272
1.54543E-6	8.347582
1.546195E-6	8.344015
1.547005E-6	8.371271
1.54777E-6	7.945845
1.54858E-6	8.375604
1.54939E-6	8.423993
1.550155E-6	8.433772
1.55101E-6	8.497223
1.55182E-6	8.545022
1.55263E-6	8.569411
1.55344E-6	8.635813
1.55425E-6	9.408171
1.555015E-6	8.675147
1.555825E-6	8.69979
1.556635E-6	8.830242
1.5574E-6	8.689799
1.55821E-6	8.736806
1.55902E-6	8.214443
1.559785E-6	8.524108
1.56064E-6	7.939451
1.561405E-6	8.144234
1.562215E-6	7.898915
1.563025E-6	7.655415
1.563835E-6	7.340854
1.564645E-6	6.993901
1.5655E-6	6.748333
1.56631E-6	6.465187
