Wavelength (nm)	Noise Figure (dB)
1.52887E-6	15.983883
1.529635E-6	15.563272
1.530445E-6	16.630422
1.53121E-6	16.812755
1.531975E-6	16.791496
1.532695E-6	16.6207
1.53346E-6	16.283429
1.53427E-6	14.987652
1.535035E-6	15.37884
1.5358E-6	14.91237
1.53661E-6	14.313855
1.537465E-6	13.900542
1.538275E-6	13.692567
1.539085E-6	13.68392
1.53985E-6	13.762244
1.54066E-6	14.440079
1.541425E-6	14.131626
1.542235E-6	14.365673
1.543045E-6	14.562503
1.54381E-6	14.652737
1.54462E-6	14.765985
1.545385E-6	14.799484
1.546195E-6	14.870731
1.54696E-6	14.567135
1.54777E-6	14.401928
1.54858E-6	14.873502
1.54939E-6	14.897102
1.5502E-6	14.899675
1.55101E-6	14.938306
1.55182E-6	14.94464
1.55263E-6	15.004749
1.55344E-6	15.739145
1.554205E-6	15.070398
1.555015E-6	15.100997
1.555825E-6	15.155542
1.556635E-6	15.16976
1.557445E-6	15.143942
1.55821E-6	14.76487
1.558975E-6	14.948285
1.559785E-6	14.754071
1.560595E-6	14.494048
1.561405E-6	14.182288
1.562215E-6	13.76748
1.563025E-6	13.340076
1.563835E-6	12.828161
1.564645E-6	12.306751
1.565455E-6	11.732031
1.56631E-6	11.295031
