Wavelength (nm)	Noise Figure (dB)
1.52968E-6	4.366148
1.53121E-6	4.568433
1.532695E-6	4.217867
1.53427E-6	4.250253
1.5358E-6	4.025011
1.53742E-6	4.187317
1.539085E-6	4.227625
1.54066E-6	4.253644
1.542235E-6	4.244432
1.54381E-6	4.376871
1.545385E-6	3.815644
1.547005E-6	4.28182
1.54858E-6	4.259988
1.5502E-6	4.457808
1.551775E-6	4.275263
1.55344E-6	4.845255
1.555015E-6	4.238084
1.556635E-6	4.401372
1.558165E-6	4.269054
1.559785E-6	4.221351
1.561405E-6	4.159948
1.563025E-6	4.064613
1.564645E-6	3.950166
1.56631E-6	3.903473
