Wavelength (nm)	Channel Gain (dB)
1.52887E-6	17.37086
1.52968E-6	17.225973
1.530445E-6	17.030377
1.53121E-6	16.636258
1.531975E-6	16.805405
1.532695E-6	16.804063
1.53346E-6	16.815468
1.53427E-6	16.850259
1.535035E-6	16.867439
1.5358E-6	16.95855
1.53661E-6	17.064589
1.53742E-6	17.212716
1.538275E-6	17.288669
1.53904E-6	17.683147
1.53985E-6	17.29126
1.54066E-6	17.231186
1.541425E-6	17.225211
1.542235E-6	17.202686
1.543045E-6	17.158084
1.54381E-6	17.130579
1.54462E-6	17.081692
1.545385E-6	17.424726
1.546195E-6	17.014989
1.547005E-6	16.75899
1.54777E-6	17.246838
1.54858E-6	16.934464
1.54939E-6	16.941825
1.550155E-6	17.100281
1.55101E-6	16.955942
1.55182E-6	16.958302
1.55263E-6	16.977429
1.55344E-6	16.977195
1.554205E-6	16.974785
1.555015E-6	16.985667
1.555825E-6	16.874905
1.55659E-6	17.123925
1.557445E-6	16.81953
1.55821E-6	16.968991
1.55902E-6	16.946967
1.559785E-6	16.933731
1.560595E-6	16.655999
1.561405E-6	16.973301
1.562215E-6	17.019196
1.563025E-6	17.083546
1.563835E-6	17.14035
1.564645E-6	16.705897
1.565455E-6	16.686511
1.56631E-6	17.205197
