Wavelength (nm)	Noise Figure (dB)
1.52887E-6	6.410652
1.52968E-6	6.586454
1.530445E-6	6.765857
1.53121E-6	6.831863
1.531975E-6	6.893057
1.532695E-6	6.807593
1.53346E-6	6.747387
1.53427E-6	6.572515
1.535035E-6	6.547163
1.5358E-6	6.159523
1.53661E-6	6.222739
1.53742E-6	6.053272
1.538275E-6	6.113382
1.539085E-6	6.220286
1.53985E-6	6.229896
1.54066E-6	6.331706
1.541425E-6	6.414281
1.542235E-6	6.504933
1.543045E-6	6.651615
1.54381E-6	6.706506
1.54462E-6	6.777472
1.545385E-6	6.78768
1.546195E-6	6.831568
1.547005E-6	6.884696
1.54777E-6	6.898583
1.54858E-6	6.920689
1.549345E-6	6.889764
1.5502E-6	7.149434
1.55101E-6	7.073192
1.55182E-6	7.077889
1.55263E-6	7.152215
1.55344E-6	7.215106
1.554205E-6	6.450915
1.555015E-6	7.21342
1.555825E-6	7.272697
1.556635E-6	7.366492
1.5574E-6	7.240705
1.55821E-6	7.288165
1.558975E-6	7.187086
1.559785E-6	7.100842
1.56064E-6	7.027269
1.561405E-6	6.825417
1.562215E-6	6.61284
1.563025E-6	6.39342
1.563835E-6	6.157176
1.564645E-6	5.892122
1.5655E-6	5.824559
1.56631E-6	5.644921
