Wavelength (nm)	Noise Figure (dB)
1.52887E-6	4.916872
1.52968E-6	5.006623
1.530445E-6	5.094375
1.53121E-6	5.422547
1.531975E-6	5.153166
1.532695E-6	5.33085
1.53346E-6	4.953696
1.53427E-6	3.61142
1.535035E-6	4.928975
1.5358E-6	5.952551
1.53661E-6	4.847764
1.53742E-6	4.888216
1.538275E-6	4.886552
1.539085E-6	5.398683
1.53985E-6	4.952698
1.54066E-6	5.032759
1.541425E-6	5.087835
1.542235E-6	5.146493
1.543045E-6	5.639236
1.54381E-6	5.213539
1.54462E-6	5.262652
1.545385E-6	4.793319
1.546195E-6	5.30406
1.547005E-6	5.312703
1.54777E-6	5.367388
1.54858E-6	5.204815
1.54939E-6	5.413512
1.5502E-6	5.490327
1.550965E-6	5.466984
1.55182E-6	5.503283
1.55263E-6	5.553767
1.553395E-6	4.897397
1.554205E-6	5.527024
1.55497E-6	4.749593
1.55578E-6	5.473098
1.55659E-6	5.470169
1.5574E-6	5.595211
1.55821E-6	5.615846
1.558975E-6	5.597926
1.559785E-6	5.528949
1.560595E-6	5.435143
1.561405E-6	5.348055
1.562215E-6	5.24468
1.563025E-6	5.129219
1.563835E-6	4.968755
1.564645E-6	4.839799
1.5655E-6	3.674126
1.56631E-6	4.736209
