Wavelength (nm)	Noise Figure (dB)
1.52968E-6	5.082831
1.53121E-6	4.577866
1.532695E-6	4.440987
1.53427E-6	3.848489
1.5358E-6	4.260984
1.53742E-6	4.252543
1.53904E-6	4.253187
1.54066E-6	4.277439
1.542235E-6	4.256209
1.54381E-6	4.215767
1.545385E-6	4.21814
1.547005E-6	4.173308
1.54858E-6	4.129772
1.550155E-6	4.026394
1.55182E-6	4.417552
1.55344E-6	4.53428
1.555015E-6	4.11286
1.556635E-6	4.059776
1.55821E-6	4.038544
1.559785E-6	4.006933
1.561405E-6	3.950427
1.563025E-6	3.842378
1.564645E-6	4.363929
1.56631E-6	3.754578
