Wavelength (nm)	Channel Gain (dB)
1.52887E-6	28.425684
1.529635E-6	28.476798
1.530445E-6	28.367509
1.53121E-6	28.310789
1.531975E-6	28.17509
1.532695E-6	28.1875
1.53346E-6	28.1436
1.53427E-6	27.953268
1.535035E-6	27.829292
1.5358E-6	27.657871
1.53661E-6	27.551326
1.53742E-6	27.553631
1.53823E-6	27.508229
1.53904E-6	27.828352
1.53985E-6	27.388113
1.54066E-6	26.97323
1.541425E-6	27.287186
1.542235E-6	27.232384
1.543045E-6	26.791433
1.54381E-6	27.158854
1.54462E-6	27.087009
1.545385E-6	27.016857
1.546195E-6	26.952746
1.547005E-6	26.675367
1.54777E-6	26.838654
1.54858E-6	27.212306
1.54939E-6	26.74342
1.550155E-6	26.924378
1.55101E-6	26.452098
1.55182E-6	26.659957
1.552585E-6	27.040281
1.553395E-6	26.633852
1.55425E-6	26.606349
1.555015E-6	26.56487
1.555825E-6	26.555818
1.556635E-6	26.513085
1.5574E-6	26.497012
1.55821E-6	26.625465
1.558975E-6	26.432782
1.559785E-6	26.381441
1.560595E-6	26.337007
1.561405E-6	26.302964
1.562215E-6	26.288068
1.563025E-6	26.296742
1.563835E-6	26.29649
1.564645E-6	26.266355
1.565455E-6	26.227083
1.56631E-6	26.167074
