Wavelength (nm)	Channel Gain (dB)
1.52887E-6	21.215637
1.529635E-6	21.189497
1.530445E-6	21.074022
1.53121E-6	20.990118
1.531975E-6	20.981666
1.532695E-6	20.94193
1.53346E-6	20.986931
1.53427E-6	20.988123
1.535035E-6	21.009962
1.5358E-6	21.069302
1.53661E-6	21.122156
1.53742E-6	21.235865
1.53823E-6	21.503817
1.539085E-6	21.332397
1.53985E-6	21.287521
1.54066E-6	21.247706
1.54147E-6	20.727657
1.542235E-6	21.20213
1.543045E-6	21.183791
1.54381E-6	21.149198
1.544575E-6	21.095984
1.54543E-6	20.682594
1.546195E-6	21.027993
1.547005E-6	20.993432
1.547815E-6	20.647206
1.54858E-6	20.945143
1.54939E-6	20.862838
1.550155E-6	21.141174
1.55101E-6	20.972651
1.55182E-6	21.007152
1.55263E-6	20.978992
1.55344E-6	20.55612
1.554205E-6	20.971107
1.555015E-6	20.862098
1.555825E-6	20.974905
1.556635E-6	20.976863
1.5574E-6	21.227752
1.55821E-6	20.941273
1.558975E-6	20.906958
1.559785E-6	20.922738
1.56064E-6	21.180784
1.561405E-6	20.935101
1.562215E-6	20.955717
1.563025E-6	21.016473
1.563835E-6	21.110521
1.564645E-6	21.132173
1.5655E-6	21.659986
1.56631E-6	21.142694
