Wavelength (nm)	Noise Figure (dB)
1.529635E-6	4.531551
1.53121E-6	4.585862
1.532695E-6	4.553788
1.53427E-6	4.562282
1.5358E-6	4.293301
1.53742E-6	4.598342
1.539085E-6	4.482077
1.54066E-6	4.616317
1.542235E-6	4.666799
1.54381E-6	4.647981
1.54543E-6	4.743926
1.54696E-6	4.74932
1.548625E-6	5.315702
1.5502E-6	4.788745
1.55182E-6	4.825321
1.55344E-6	4.82169
1.55506E-6	5.557696
1.556635E-6	4.954096
1.55821E-6	4.86023
1.559785E-6	4.763778
1.561405E-6	4.675109
1.563025E-6	4.536941
1.564645E-6	4.328366
1.56631E-6	4.265776
