Wavelength (nm)	Noise Figure (dB)
1.529635E-6	4.330536
1.53121E-6	4.316095
1.532695E-6	4.283647
1.53427E-6	4.210165
1.5358E-6	4.113213
1.53742E-6	4.198889
1.539085E-6	4.633751
1.54066E-6	4.229058
1.542235E-6	4.489355
1.54381E-6	4.194735
1.54543E-6	4.175827
1.547005E-6	4.185377
1.54858E-6	3.64389
1.5502E-6	4.148207
1.55182E-6	4.148027
1.553395E-6	4.102846
1.555015E-6	4.061453
1.556635E-6	4.090223
1.55821E-6	4.074357
1.559785E-6	4.023578
1.561405E-6	3.935212
1.563025E-6	3.913366
1.564645E-6	3.839553
1.56631E-6	3.845071
