Wavelength (nm)	Channel Gain (dB)
1.52887E-6	28.482774
1.529635E-6	28.538373
1.530445E-6	28.485314
1.53121E-6	28.424871
1.531975E-6	28.314567
1.532695E-6	28.233961
1.53346E-6	28.117088
1.53427E-6	27.971612
1.535035E-6	27.799214
1.5358E-6	27.630732
1.53661E-6	27.548158
1.53742E-6	27.486784
1.53823E-6	27.461924
1.539085E-6	27.410735
1.53985E-6	27.337842
1.54066E-6	27.273446
1.541425E-6	27.215731
1.542235E-6	26.93888
1.543045E-6	27.159124
1.54381E-6	27.10049
1.54462E-6	26.793765
1.54534E-6	26.963101
1.546195E-6	26.906236
1.547005E-6	26.852046
1.547815E-6	26.462306
1.54858E-6	26.715359
1.54939E-6	26.604379
1.5502E-6	26.688582
1.55101E-6	26.406939
1.551775E-6	26.631613
1.55263E-6	26.60491
1.55344E-6	26.134759
1.55425E-6	26.056034
1.555015E-6	26.522341
1.555825E-6	26.493453
1.556635E-6	26.447893
1.557445E-6	26.230578
1.55821E-6	26.648707
1.558975E-6	26.041626
1.559785E-6	26.271626
1.560595E-6	26.236724
1.561405E-6	26.223481
1.562215E-6	26.19861
1.563025E-6	26.193342
1.563835E-6	26.192046
1.564645E-6	26.168993
1.565455E-6	26.166408
1.56631E-6	26.097614
