Wavelength (nm)	Channel Gain (dB)
1.52887E-6	18.57938
1.52968E-6	18.530829
1.530445E-6	18.402451
1.53121E-6	18.277602
1.531975E-6	18.242782
1.532695E-6	18.259585
1.53346E-6	18.269185
1.53427E-6	18.316819
1.535035E-6	18.351791
1.5358E-6	18.016886
1.53661E-6	18.53384
1.53742E-6	18.673431
1.538275E-6	18.732247
1.539085E-6	18.760668
1.53985E-6	18.761311
1.54066E-6	18.697586
1.541425E-6	18.686413
1.542235E-6	18.666129
1.543045E-6	18.63122
1.54381E-6	18.603899
1.54462E-6	18.573166
1.545385E-6	18.533689
1.546195E-6	18.42922
1.547005E-6	18.477063
1.547815E-6	18.457878
1.54858E-6	18.460261
1.54939E-6	18.457996
1.5502E-6	18.313333
1.55101E-6	18.482929
1.55182E-6	18.487923
1.55263E-6	18.48902
1.55344E-6	18.494498
1.554205E-6	18.955816
1.555015E-6	18.512863
1.555825E-6	18.513906
1.556635E-6	18.381767
1.5574E-6	18.669107
1.55821E-6	18.485125
1.558975E-6	18.49459
1.559785E-6	18.496103
1.560595E-6	18.242815
1.561405E-6	18.554517
1.562215E-6	18.257176
1.563025E-6	18.682209
1.563835E-6	18.324132
1.564645E-6	18.330377
1.5655E-6	18.839883
1.56631E-6	18.851519
