Wavelength (nm)	Channel Gain (dB)
1.5358E-6	12.749568
1.53742E-6	13.047503
1.53904E-6	13.614811
1.54066E-6	13.178572
1.542235E-6	13.112681
1.54381E-6	13.042349
1.54543E-6	12.943161
1.547005E-6	12.870801
1.54858E-6	12.849546
1.550155E-6	13.052684
1.55182E-6	12.902176
1.553395E-6	12.938416
1.555015E-6	12.967367
1.556635E-6	12.818743
1.55821E-6	13.018501
1.559785E-6	13.03726
