Wavelength (nm)	Noise Figure (dB)
1.52887E-6	12.56005
1.529635E-6	12.837724
1.530445E-6	13.164713
1.53121E-6	13.33517
1.531975E-6	13.341554
1.532695E-6	13.213744
1.53346E-6	12.953451
1.53427E-6	12.639018
1.535035E-6	12.198922
1.5358E-6	11.696355
1.53661E-6	11.388787
1.537465E-6	9.27832
1.538275E-6	11.169561
1.539085E-6	11.526552
1.53985E-6	10.981464
1.54066E-6	11.179013
1.541425E-6	11.360959
1.542235E-6	11.533887
1.543045E-6	11.717949
1.54381E-6	11.815057
1.54462E-6	11.910384
1.54543E-6	12.598691
1.546195E-6	12.037446
1.54696E-6	11.765644
1.54777E-6	12.046459
1.54858E-6	12.084212
1.549345E-6	12.058714
1.550155E-6	12.085087
1.55101E-6	12.470707
1.55182E-6	12.17527
1.55263E-6	12.229388
1.553395E-6	12.23945
1.554205E-6	12.319478
1.555015E-6	12.342716
1.555825E-6	12.419028
1.556635E-6	12.423529
1.557445E-6	12.402824
1.55821E-6	12.134295
1.55902E-6	12.04363
1.559785E-6	12.082871
1.56064E-6	11.509619
1.561405E-6	11.556918
1.562215E-6	11.229549
1.563025E-6	10.838101
1.563835E-6	10.378099
1.564645E-6	9.947897
1.565455E-6	9.49354
1.56631E-6	9.124785
