Wavelength (nm)	Noise Figure (dB)
1.52887E-6	4.194522
1.52968E-6	4.252284
1.530445E-6	4.240585
1.53121E-6	4.23859
1.531975E-6	4.243831
1.532695E-6	4.218873
1.53346E-6	4.156446
1.53427E-6	4.252283
1.535035E-6	4.157036
1.5358E-6	4.013211
1.53661E-6	4.189371
1.53742E-6	4.113289
1.538275E-6	3.905151
1.539085E-6	4.174207
1.53985E-6	4.186882
1.54066E-6	4.167222
1.541425E-6	4.208473
1.542235E-6	4.233451
1.543045E-6	4.213025
1.54381E-6	4.229645
1.54462E-6	4.248625
1.545385E-6	4.27935
1.546195E-6	4.285694
1.547005E-6	4.458826
1.547815E-6	4.276399
1.54858E-6	4.202424
1.549345E-6	4.182635
1.5502E-6	4.290746
1.55101E-6	4.291565
1.55182E-6	4.291052
1.55263E-6	4.264775
1.55344E-6	4.226235
1.554205E-6	3.693683
1.555015E-6	4.256828
1.555825E-6	4.247016
1.556635E-6	4.284665
1.557445E-6	4.287697
1.55821E-6	4.302848
1.55902E-6	3.957743
1.559785E-6	4.214989
1.56064E-6	3.868296
1.561405E-6	4.153376
1.562215E-6	4.130231
1.563025E-6	4.069751
1.563835E-6	3.982026
1.564645E-6	3.912525
1.5655E-6	3.938801
1.56631E-6	3.88959
