Wavelength (nm)	Noise Figure (dB)
1.52887E-6	4.107574
1.529635E-6	4.138055
1.530445E-6	4.158419
1.53121E-6	4.109865
1.53193E-6	4.125041
1.532695E-6	4.293661
1.53346E-6	4.41719
1.534225E-6	4.700964
1.535035E-6	3.999693
1.5358E-6	3.967976
1.53661E-6	3.990272
1.53742E-6	3.986269
1.53823E-6	3.980933
1.53904E-6	4.015064
1.53985E-6	4.018043
1.54066E-6	4.413959
1.541425E-6	3.467376
1.542235E-6	4.017865
1.543045E-6	4.066554
1.54381E-6	4.052846
1.54462E-6	4.02673
1.545385E-6	4.037973
1.546195E-6	4.021319
1.547005E-6	4.015033
1.547815E-6	3.974654
1.54858E-6	4.020883
1.54939E-6	4.06422
1.5502E-6	4.161175
1.55101E-6	4.281563
1.55182E-6	3.988648
1.552585E-6	3.537877
1.553395E-6	3.434606
1.55425E-6	3.989912
1.555015E-6	3.914815
1.555825E-6	4.070516
1.556635E-6	4.080492
1.5574E-6	3.945324
1.55821E-6	3.954692
1.558975E-6	3.924943
1.559785E-6	3.902438
1.560595E-6	3.886855
1.561405E-6	3.904947
1.562215E-6	3.802671
1.563025E-6	3.831443
1.563835E-6	3.80642
1.564645E-6	3.78665
1.565455E-6	4.389204
1.56631E-6	3.718889
