Wavelength (nm)	Noise Figure (dB)
1.52968E-6	4.317725
1.53121E-6	4.367302
1.532695E-6	4.512354
1.53427E-6	4.290358
1.5358E-6	4.086168
1.53742E-6	3.273789
1.539085E-6	4.693851
1.54066E-6	4.276487
1.542235E-6	4.310737
1.54381E-6	4.325887
1.54543E-6	4.331678
1.547005E-6	4.327347
1.54858E-6	4.271886
1.5502E-6	4.334884
1.55182E-6	4.682096
1.55344E-6	4.854298
1.555015E-6	4.323432
1.55659E-6	4.181427
1.55821E-6	4.385662
1.559785E-6	4.282256
1.561405E-6	4.209003
1.563025E-6	4.105459
1.564645E-6	4.001574
1.56631E-6	3.949989
