Wavelength (nm)	Noise Figure (dB)
1.52887E-6	4.289836
1.52968E-6	4.856156
1.530445E-6	4.354373
1.53121E-6	4.337794
1.531975E-6	4.355941
1.532695E-6	4.365696
1.53346E-6	4.489538
1.53427E-6	4.145065
1.535035E-6	4.130787
1.5358E-6	4.076991
1.53661E-6	4.022261
1.53742E-6	4.049506
1.538275E-6	4.238086
1.539085E-6	4.086092
1.53985E-6	4.082121
1.54066E-6	4.101925
1.541425E-6	4.07039
1.542235E-6	4.079703
1.543045E-6	4.100728
1.54381E-6	4.073129
1.54462E-6	4.062943
1.545385E-6	4.08121
1.546195E-6	4.050064
1.54696E-6	4.007988
1.54777E-6	4.052219
1.54858E-6	3.980687
1.549345E-6	3.981907
1.5502E-6	4.0239
1.55101E-6	4.017618
1.55182E-6	4.022566
1.55263E-6	4.013069
1.55344E-6	3.97616
1.554205E-6	3.928231
1.555015E-6	3.980637
1.555825E-6	4.048444
1.55659E-6	3.755298
1.5574E-6	3.760211
1.55821E-6	3.930101
1.558975E-6	3.913145
1.559785E-6	3.852971
1.560595E-6	3.825974
1.561405E-6	3.807731
1.562215E-6	3.805712
1.563025E-6	3.796854
1.563835E-6	3.771061
1.564645E-6	3.721618
1.5655E-6	3.13093
1.56631E-6	3.701115
