Wavelength (nm)	Noise Figure (dB)
1.52887E-6	6.874246
1.529635E-6	7.032257
1.530445E-6	7.299442
1.53121E-6	7.353655
1.531975E-6	7.422583
1.53274E-6	7.174274
1.53346E-6	7.241036
1.53427E-6	7.18785
1.535035E-6	6.981796
1.5358E-6	6.814328
1.53661E-6	6.68924
1.53742E-6	6.626536
1.538275E-6	6.825352
1.539085E-6	6.650413
1.53985E-6	5.850202
1.54066E-6	6.876911
1.541425E-6	6.982842
1.542235E-6	7.047668
1.543045E-6	7.225226
1.54381E-6	7.244979
1.54462E-6	7.620633
1.545385E-6	6.901283
1.546195E-6	7.461023
1.547005E-6	7.495102
1.54777E-6	7.120684
1.54858E-6	7.527184
1.549345E-6	7.544972
1.5502E-6	7.647465
1.55101E-6	7.658764
1.55182E-6	7.717199
1.55263E-6	7.765665
1.55344E-6	7.831375
1.554205E-6	7.816721
1.555015E-6	7.877701
1.555825E-6	7.914582
1.55659E-6	7.788986
1.5574E-6	7.767526
1.558255E-6	8.107917
1.55902E-6	7.923909
1.55983E-6	7.422998
1.560595E-6	7.626823
1.561405E-6	7.452918
1.562215E-6	7.241193
1.563025E-6	7.028081
1.563835E-6	6.813117
1.564645E-6	6.525492
1.565455E-6	7.274638
1.56631E-6	6.186532
