Wavelength (nm)	Channel Gain (dB)
1.529635E-6	12.039754
1.53121E-6	11.500185
1.532695E-6	11.398622
1.534225E-6	11.147158
1.5358E-6	11.782049
1.53742E-6	12.131007
1.539085E-6	11.88805
1.54066E-6	12.261427
1.542235E-6	12.20009
1.54381E-6	12.139531
1.545385E-6	12.051319
1.547005E-6	11.740586
1.548535E-6	11.998663
1.5502E-6	11.982241
1.55182E-6	12.026631
1.553395E-6	12.061385
1.55497E-6	12.201102
1.55659E-6	12.103034
1.558165E-6	12.019502
1.559785E-6	12.094319
1.561405E-6	12.142555
1.563025E-6	12.248533
1.564645E-6	12.342752
1.56631E-6	12.383231
